tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,49.72
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,48.98
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,46.40
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,49.32
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,35.45
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,72.78
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,119.66
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,38.62
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,39.37
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,39.80
1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",0,57.47
1,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",0,46.99
1,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",0,109.09
1,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",0,86.37
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,56.92
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,53.34
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,49.82
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,49.51
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,39.18
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,77.81
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,113.93
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,34.60
1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",0,37.16
1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",0,38.72
1,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",0,46.09
1,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",0,42.42
1,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",0,104.23
1,"[2016-10-31 17:20:00,2016-10-31 17:40:00)",0,84.66
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,55.05
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,50.58
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,52.77
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,51.34
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,38.02
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,82.78
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,107.22
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,31.24
1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",0,28.37
1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",0,32.24
1,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",0,41.11
1,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",0,35.45
1,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",0,101.20
1,"[2016-10-31 17:40:00,2016-10-31 18:00:00)",0,82.12
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,51.31
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,58.77
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,49.20
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,53.70
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,35.90
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,86.99
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,113.06
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,30.54
1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",0,27.67
1,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",0,27.42
1,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",0,39.72
1,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",0,32.79
1,"[2016-10-30 18:00:00,2016-10-30 18:20:00)",0,87.51
1,"[2016-10-31 18:00:00,2016-10-31 18:20:00)",0,49.04
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,53.01
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,52.09
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,49.44
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,52.38
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,39.64
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,94.62
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,105.15
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,25.90
1,"[2016-10-26 18:20:00,2016-10-26 18:40:00)",0,23.54
1,"[2016-10-27 18:20:00,2016-10-27 18:40:00)",0,23.66
1,"[2016-10-28 18:20:00,2016-10-28 18:40:00)",0,36.48
1,"[2016-10-29 18:20:00,2016-10-29 18:40:00)",0,26.93
1,"[2016-10-30 18:20:00,2016-10-30 18:40:00)",0,96.27
1,"[2016-10-31 18:20:00,2016-10-31 18:40:00)",0,56.63
1,"[2016-10-25 09:40:00,2016-10-25 10:00:00)",0,53.53
1,"[2016-10-26 09:40:00,2016-10-26 10:00:00)",0,55.40
1,"[2016-10-27 09:40:00,2016-10-27 10:00:00)",0,54.07
1,"[2016-10-28 09:40:00,2016-10-28 10:00:00)",0,56.46
1,"[2016-10-29 09:40:00,2016-10-29 10:00:00)",0,42.98
1,"[2016-10-30 09:40:00,2016-10-30 10:00:00)",0,93.37
1,"[2016-10-31 09:40:00,2016-10-31 10:00:00)",0,90.69
1,"[2016-10-25 18:40:00,2016-10-25 19:00:00)",0,22.03
