tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,47.69
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,43.76
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,45.06
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,33.15
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,43.01
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,35.21
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,45.78
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,58.76
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,37.66
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,48.04
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,32.82
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,55.43
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,47.84
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,40.87
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,53.62
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,40.67
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,49.52
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,33.21
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,49.30
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,33.37
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,45.38
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,54.51
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,43.46
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,44.25
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,40.36
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,55.70
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,52.65
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,38.47
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,56.72
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,38.64
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,56.09
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,34.07
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,53.61
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,34.27
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,55.94
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,50.29
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,46.26
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,37.83
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,45.92
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,50.34
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,54.08
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,35.47
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,53.27
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,28.98
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,52.85
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,24.64
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,51.05
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,26.60
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,54.75
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,36.74
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,50.37
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",0,36.03
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,43.95
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",0,39.94
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,51.24
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",0,29.98
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,55.10
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,29.27
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,53.29
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,24.98
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,56.59
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,27.15
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,54.83
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,37.10
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,54.52
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",0,29.23
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,47.02
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",0,39.00
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,52.06
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",0,24.75
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,52.47
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,26.11
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,50.36
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,26.40
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,55.78
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,27.14
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,52.38
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,32.93
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,49.73
1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",0,26.17
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,48.58
1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",0,38.83
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,54.21
1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",0,25.93
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,113.49
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,98.42
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,106.85
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,76.93
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,111.50
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,99.70
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,100.05
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,109.55
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,81.42
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,85.70
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,73.40
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,96.43
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,123.38
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,98.66
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,115.93
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,101.70
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,116.43
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,80.01
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,117.89
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,104.17
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,107.48
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",1,109.99
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,94.17
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",1,83.63
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,89.64
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",1,94.79
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,123.34
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",1,106.57
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,120.00
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,101.23
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,117.13
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,76.16
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,119.36
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",1,105.63
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,115.21
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",1,104.19
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,99.38
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",1,80.82
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,99.21
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",1,78.48
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,123.09
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",1,105.78
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,116.63
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,72.08
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,114.05
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,59.58
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,120.19
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",1,74.01
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,108.67
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",1,75.16
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",1,100.41
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",1,64.60
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",1,87.21
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",1,56.73
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",1,119.82
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",1,72.82
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,118.09
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,74.98
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,116.68
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",1,57.94
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,113.79
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",1,77.51
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",1,115.65
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",1,70.00
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",1,101.56
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",1,66.99
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",1,92.99
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",1,58.28
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",1,117.67
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",1,73.83
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,111.95
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,74.01
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,111.57
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",1,58.22
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",1,115.14
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",1,76.75
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",1,109.15
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",1,76.23
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",1,104.99
