,importance
vehicle_model_avg3,0.0265690344733
vehicle_model_avg4,0.0246367363131
volume5,0.0236333965406
vehicle_model_avg0,0.0227350014442
cargo_model0,0.0226378675824
vehicle_model_avg2,0.0221545053421
cargo_all_model,0.0218218416825
vehicle_all_model_avg,0.0210665642919
vehicle_model_avg5,0.0206671940745
vehicle_model_avg1,0.0202117707979
cargo_max_model,0.0198242319671
cargo_model1,0.0191232465491
volume3,0.0178110746081
passenger_all_model_avg,0.0173836210645
cargo_model2,0.0170128987867
volume1,0.0165089875799
vehicle_model3,0.0159524975843
etc_all_count,0.015185574143
vehicle_model5,0.0149995503308
volume4,0.0138204016981
cargo_all_count,0.0133610452228
volume0,0.0133342083267
vehicle_model4,0.0130578649169
cargo_count3,0.0130447597013
vehicle_model2,0.0125948129684
vehicle_all_model,0.0122252618722
vehicle_model1,0.0122137875785
no_count1,0.0120394049297
cargo_model_avg3,0.0120051147624
etc_count4,0.011885214717
hour,0.0115596418784
volume2,0.0114540479582
cargo_model5,0.0112438093479
cargo_model_avg0,0.0109618040652
cargo_model4,0.0108912329891
passenger_model5,0.0106869849847
cargo_model3,0.0105356695749
cargo_min_model,0.0103646483135
passenger_model1,0.0102229495235
vehicle_model0,0.00995266800266
passenger_count2,0.00989772915666
cargo_count0,0.00989017609723
cargo_model_avg5,0.0097872162257
no_count5,0.00966758241109
passenger_count5,0.00955811431256
cargo_model_avg2,0.00951436225655
volume_all,0.00951175171583
cargo_model_avg1,0.00919670371222
passenger_model4,0.00913728832721
passenger_all_count,0.00908494006856
cargo_count1,0.00905720073798
cargo_model_avg4,0.00878869119667
cargo_all_model_avg,0.00844216787687
vehicle_min_model,0.00838091890251
volume_min,0.00830090084032
etc_count2,0.00811026265055
passenger_model_avg5,0.00798904593491
etc_count1,0.00786357908989
passenger_count1,0.00743365796635
passenger_model_avg3,0.00732593807651
passenger_model_avg2,0.00729006235604
passenger_model3,0.00727897248372
cargo_max_count,0.007149726057
passenger_max_model,0.00713472834336
passenger_count3,0.00710752325932
passenger_model_avg0,0.00702759858622
passenger_count4,0.00693446078582
passenger_model2,0.00688335199961
passenger_model0,0.00688199556632
passenger_count0,0.00678503168201
passenger_all_model,0.00672139407151
etc_count0,0.00670931734826
day,0.00662121291301
passenger_model_avg1,0.00634219744693
no_count4,0.00620747611012
passenger_model_avg4,0.00603830547344
etc_count3,0.00584473945247
cargo_count5,0.00566198120742
etc_count5,0.00558675439901
vehicle_max_model,0.00531676772107
minute,0.00514612944157
passenger_min_model,0.00480860633589
passenger_max_count,0.00480482070196
cargo_count2,0.00472787068346
no_count3,0.00455111107277
no_count0,0.00448822501233
etc_min_count,0.00448574810395
cargo_count4,0.00417192693893
no_count2,0.0039066912092
week,0.00385425956706
no_all_count,0.00380951216658
volume_max,0.00379637804818
etc_max_count,0.00350157550856
cargo_min_count,0.00260612236417
passenger_min_count,0.00258236395566
no_min_count,0.00189218188907
no_max_count,0.00101372369374
weekend,0.0
