,importance
vehicle_all_model,0.0355747681486
passenger_all_model,0.0277280702305
volume_all,0.024077907598
volume1,0.0236075117854
passenger_count3,0.022557716762
vehicle_model2,0.0225236472926
vehicle_model1,0.0206660431023
passenger_min_model,0.0202180424094
volume4,0.0198881485131
etc_min_count,0.0194891536563
volume5,0.0182797097204
passenger_all_count,0.0172561771076
volume3,0.0172373723246
vehicle_model5,0.0170537218962
passenger_model3,0.0169033075449
vehicle_min_model,0.0167124896826
volume2,0.0157684085222
passenger_model5,0.0154404534205
vehicle_model_avg3,0.0139376915314
passenger_count4,0.0137901020943
passenger_count2,0.0134507697611
vehicle_model_avg1,0.0133935940599
volume_max,0.0130451114276
passenger_model_avg4,0.0127446574988
passenger_all_model_avg,0.0127243797894
volume0,0.0126791308051
passenger_count1,0.0126091455614
passenger_model1,0.0121831595403
vehicle_model3,0.0121510525115
vehicle_model0,0.0121209432724
cargo_model_avg4,0.0120724985347
cargo_model_avg5,0.0120566128097
passenger_model_avg3,0.0119074859388
cargo_model_avg3,0.0116906322021
etc_count5,0.011611177803
cargo_all_count,0.0113985310675
vehicle_model_avg5,0.0113135349855
cargo_all_model,0.010802847918
passenger_count0,0.0107397812071
vehicle_model_avg0,0.0106994233785
passenger_model2,0.0106470706722
vehicle_model_avg4,0.0102242531994
etc_count3,0.010166988973
cargo_model_avg1,0.0100851298926
passenger_min_count,0.0100717293041
passenger_model_avg2,0.00981368997563
cargo_model_avg0,0.00972848840541
cargo_all_model_avg,0.00969449626486
passenger_model0,0.00964984077518
etc_all_count,0.00962778714369
passenger_model_avg1,0.00941785420667
vehicle_model_avg2,0.00934490804563
passenger_model_avg5,0.00913678442395
passenger_count5,0.00910166090532
cargo_model_avg2,0.00906650768127
vehicle_all_model_avg,0.00905635183914
cargo_model5,0.00903632993305
vehicle_model4,0.00861162319394
cargo_count1,0.00822574293063
day,0.00798021823545
cargo_count4,0.0079579754409
passenger_model_avg0,0.00789791021874
etc_count2,0.00781431745673
volume_min,0.00776321931941
cargo_max_model,0.0076394871509
passenger_max_model,0.00745528603975
hour,0.00732964181039
cargo_min_model,0.00731165276482
vehicle_max_model,0.00725956808716
etc_count4,0.00692147348277
passenger_max_count,0.00690966854948
cargo_model0,0.00685043283977
cargo_model2,0.00667034434488
cargo_count2,0.00663461609439
etc_count1,0.00646744248829
cargo_model3,0.00632457672279
cargo_count5,0.00606164526929
cargo_model1,0.0057348378916
cargo_max_count,0.00548226175915
passenger_model4,0.00535903765003
cargo_model4,0.00522315075527
cargo_count3,0.00515640661492
etc_max_count,0.00480627903987
cargo_count0,0.00465663832739
cargo_min_count,0.00388915595919
etc_count0,0.00385029773403
minute,0.00300000236906
week,0.00259494395136
weekend,0.000185360451069
no_min_count,0.0
no_max_count,0.0
no_all_count,0.0
no_count5,0.0
no_count4,0.0
no_count3,0.0
no_count2,0.0
no_count1,0.0
no_count0,0.0
