,cargo_count0,cargo_count1,cargo_count2,cargo_count3,cargo_count4,cargo_count5,cargo_model0,cargo_model1,cargo_model2,cargo_model3,cargo_model4,cargo_model5,cargo_model_avg0,cargo_model_avg1,cargo_model_avg2,cargo_model_avg3,cargo_model_avg4,cargo_model_avg5,etc_count0,etc_count1,etc_count2,etc_count3,etc_count4,etc_count5,no_count0,no_count1,no_count2,no_count3,no_count4,no_count5,passenger_count0,passenger_count1,passenger_count2,passenger_count3,passenger_count4,passenger_count5,passenger_model0,passenger_model1,passenger_model2,passenger_model3,passenger_model4,passenger_model5,passenger_model_avg0,passenger_model_avg1,passenger_model_avg2,passenger_model_avg3,passenger_model_avg4,passenger_model_avg5,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model_avg0,vehicle_model_avg1,vehicle_model_avg2,vehicle_model_avg3,vehicle_model_avg4,vehicle_model_avg5,volume0,volume1,volume2,volume3,volume4,volume5,y,vehicle_all_model,vehicle_max_model,vehicle_min_model,cargo_all_model,cargo_max_model,cargo_min_model,passenger_all_model,passenger_max_model,passenger_min_model,no_all_count,no_max_count,no_min_count,cargo_all_count,cargo_max_count,cargo_min_count,passenger_all_count,passenger_max_count,passenger_min_count,volume_all,volume_max,volume_min,etc_all_count,etc_max_count,etc_min_count,vehicle_all_model_avg,cargo_all_model_avg,passenger_all_model_avg,day,hour,minute,week,weekend
2016-09-19 00:00:00,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,,,1.0,,2.0,2.0,,,1.0,,2.0,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,,,,,,,3.0,,,1.0,,2.0,1.5,,,1.0,,1.0,2.0,,,1.0,,2.0,,,3.0,1.0,,0.0,0.0,,0.0,0.0,,2.0,1.0,,0.0,0.0,,0.0,0.0,,2.0,1.0,,2.0,0.0,,,,19,2,20,0,0
2016-09-19 00:20:00,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,1.0,,2.0,,,,1.0,,2.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,1.0,,2.0,,,,1.0,,1.0,,,,1.0,,2.0,,,,2.0,1.0,,0.0,0.0,,0.0,0.0,,2.0,1.0,,0.0,0.0,,0.0,0.0,,2.0,1.0,,2.0,1.0,,,,19,2,40,0,0
2016-09-19 00:40:00,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,1.0,,2.0,,,,1.0,,2.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,1.0,,2.0,,,,1.0,,1.0,,,,1.0,,2.0,,,,,2.0,1.0,,0.0,0.0,,0.0,0.0,,2.0,1.0,,0.0,0.0,,0.0,0.0,,2.0,1.0,,2.0,1.0,,,,19,3,0,0,0
2016-09-19 01:00:00,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,1.0,,2.0,,,,1.0,,2.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,,,,,,,1.0,,2.0,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,2.0,1.0,,0.0,0.0,,0.0,0.0,,2.0,1.0,,0.0,0.0,,0.0,0.0,,2.0,1.0,,2.0,1.0,,,,19,3,20,0,0
2016-09-19 01:20:00,,0.0,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,2.0,,,,,,,2.0,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,,2.0,2.0,,,,19,3,40,0,0
2016-09-19 01:40:00,0.0,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,2.0,,,,,,,,2.0,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,,2.0,2.0,,,,19,4,0,0,0
2016-09-19 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4,20,0,0
2016-09-19 02:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4,40,0,0
2016-09-19 02:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5,0,0,0
2016-09-19 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5,20,0,0
