,cargo_count0,cargo_count1,cargo_count2,cargo_count3,cargo_count4,cargo_count5,cargo_model0,cargo_model1,cargo_model2,cargo_model3,cargo_model4,cargo_model5,cargo_model_avg0,cargo_model_avg1,cargo_model_avg2,cargo_model_avg3,cargo_model_avg4,cargo_model_avg5,etc_count0,etc_count1,etc_count2,etc_count3,etc_count4,etc_count5,no_count0,no_count1,no_count2,no_count3,no_count4,no_count5,passenger_count0,passenger_count1,passenger_count2,passenger_count3,passenger_count4,passenger_count5,passenger_model0,passenger_model1,passenger_model2,passenger_model3,passenger_model4,passenger_model5,passenger_model_avg0,passenger_model_avg1,passenger_model_avg2,passenger_model_avg3,passenger_model_avg4,passenger_model_avg5,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model_avg0,vehicle_model_avg1,vehicle_model_avg2,vehicle_model_avg3,vehicle_model_avg4,vehicle_model_avg5,volume0,volume1,volume2,volume3,volume4,volume5,y,vehicle_all_model,vehicle_max_model,vehicle_min_model,cargo_all_model,cargo_max_model,cargo_min_model,passenger_all_model,passenger_max_model,passenger_min_model,no_all_count,no_max_count,no_min_count,cargo_all_count,cargo_max_count,cargo_min_count,passenger_all_count,passenger_max_count,passenger_min_count,volume_all,volume_max,volume_min,etc_all_count,etc_max_count,etc_min_count,vehicle_all_model_avg,cargo_all_model_avg,passenger_all_model_avg,day,hour,minute,week,weekend
2016-09-19 00:00:00,21.0,16.0,16.0,0.0,3.0,1.0,49.0,34.0,37.0,0.0,7.0,5.0,2.33333333333,2.125,2.3125,,2.33333333333,5.0,46.0,35.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,96.0,77.0,4.0,2.0,3.0,181.0,114.0,97.0,4.0,2.0,3.0,1.13125,1.1875,1.25974025974,1.0,1.0,1.0,230.0,148.0,134.0,4.0,9.0,8.0,1.27071823204,1.32142857143,1.44086021505,1.0,1.8,2.0,181.0,112.0,93.0,4.0,5.0,4.0,5.0,533.0,230.0,4.0,132.0,49.0,0.0,401.0,181.0,2.0,0.0,0.0,0.0,57.0,21.0,0.0,342.0,160.0,2.0,399.0,181.0,4.0,108.0,46.0,0.0,1.335839599,2.31578947368,1.17251461988,19,3,0,0,0
2016-09-19 00:20:00,16.0,16.0,0.0,3.0,1.0,2.0,34.0,37.0,0.0,7.0,5.0,7.0,2.125,2.3125,,2.33333333333,5.0,3.5,35.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,77.0,4.0,2.0,3.0,3.0,114.0,97.0,4.0,2.0,3.0,3.0,1.1875,1.25974025974,1.0,1.0,1.0,1.0,148.0,134.0,4.0,9.0,8.0,10.0,1.32142857143,1.44086021505,1.0,1.8,2.0,2.0,112.0,93.0,4.0,5.0,4.0,5.0,3.0,313.0,148.0,4.0,90.0,37.0,5.0,223.0,114.0,2.0,0.0,0.0,0.0,38.0,16.0,0.0,185.0,96.0,2.0,223.0,112.0,4.0,62.0,35.0,0.0,1.40358744395,2.36842105263,1.20540540541,19,3,20,0,0
2016-09-19 00:40:00,16.0,0.0,3.0,1.0,2.0,1.0,37.0,0.0,7.0,5.0,7.0,3.0,2.3125,,2.33333333333,5.0,3.5,3.0,25.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,4.0,2.0,3.0,3.0,3.0,97.0,4.0,2.0,3.0,3.0,3.0,1.25974025974,1.0,1.0,1.0,1.0,1.0,134.0,4.0,9.0,8.0,10.0,6.0,1.44086021505,1.0,1.8,2.0,2.0,1.5,93.0,4.0,5.0,4.0,5.0,4.0,10.0,171.0,134.0,4.0,59.0,37.0,0.0,112.0,97.0,2.0,0.0,0.0,0.0,23.0,16.0,0.0,92.0,77.0,2.0,115.0,93.0,4.0,29.0,25.0,0.0,1.48695652174,2.5652173913,1.21739130435,19,3,40,0,0
2016-09-19 01:00:00,0.0,3.0,1.0,2.0,1.0,,0.0,7.0,5.0,7.0,3.0,,,2.33333333333,5.0,3.5,3.0,,1.0,1.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,3.0,3.0,3.0,,4.0,2.0,3.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,,4.0,9.0,8.0,10.0,6.0,,1.0,1.8,2.0,2.0,1.5,,4.0,5.0,4.0,5.0,4.0,,4.0,,10.0,4.0,,7.0,0.0,,4.0,2.0,,0.0,0.0,,3.0,0.0,,4.0,2.0,,5.0,4.0,,2.0,0.0,,,,19,4,0,0,0
2016-09-19 01:20:00,3.0,1.0,2.0,1.0,,2.0,7.0,5.0,7.0,3.0,,4.0,2.33333333333,5.0,3.5,3.0,,2.0,1.0,0.0,0.0,2.0,,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,3.0,3.0,3.0,,3.0,2.0,3.0,3.0,3.0,,3.0,1.0,1.0,1.0,1.0,,1.0,9.0,8.0,10.0,6.0,,7.0,1.8,2.0,2.0,1.5,,1.4,5.0,4.0,5.0,4.0,,5.0,7.0,,10.0,6.0,,7.0,3.0,,3.0,2.0,,0.0,0.0,,3.0,1.0,,3.0,2.0,,5.0,4.0,,2.0,0.0,,,,19,4,20,0,0
2016-09-19 01:40:00,1.0,2.0,1.0,,2.0,1.0,5.0,7.0,3.0,,4.0,3.0,5.0,3.5,3.0,,2.0,3.0,0.0,0.0,2.0,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,3.0,3.0,,3.0,2.0,3.0,3.0,3.0,,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,8.0,10.0,6.0,,7.0,5.0,2.0,2.0,1.5,,1.4,1.66666666667,4.0,5.0,4.0,,5.0,3.0,3.0,,10.0,5.0,,7.0,3.0,,3.0,2.0,,0.0,0.0,,2.0,1.0,,3.0,2.0,,5.0,3.0,,2.0,0.0,,,,19,4,40,0,0
2016-09-19 02:00:00,2.0,1.0,,2.0,1.0,6.0,7.0,3.0,,4.0,3.0,23.0,3.5,3.0,,2.0,3.0,3.83333333333,0.0,2.0,,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,3.0,3.0,,3.0,2.0,4.0,3.0,3.0,,3.0,2.0,4.0,1.0,1.0,,1.0,1.0,1.0,10.0,6.0,,7.0,5.0,27.0,2.0,1.5,,1.4,1.66666666667,2.7,5.0,4.0,,5.0,3.0,10.0,11.0,,27.0,5.0,,23.0,3.0,,4.0,2.0,,0.0,0.0,,6.0,1.0,,4.0,2.0,,10.0,3.0,,2.0,0.0,,,,19,5,0,0,0
2016-09-19 02:20:00,1.0,,2.0,1.0,6.0,2.0,3.0,,4.0,3.0,23.0,5.0,3.0,,2.0,3.0,3.83333333333,2.5,2.0,,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,,3.0,2.0,4.0,2.0,3.0,,3.0,2.0,4.0,2.0,1.0,,1.0,1.0,1.0,1.0,6.0,,7.0,5.0,27.0,7.0,1.5,,1.4,1.66666666667,2.7,1.75,4.0,,5.0,3.0,10.0,4.0,7.0,,27.0,5.0,,23.0,3.0,,4.0,2.0,,0.0,0.0,,6.0,1.0,,4.0,2.0,,10.0,3.0,,2.0,0.0,,,,19,5,20,0,0
2016-09-19 02:40:00,,2.0,1.0,6.0,2.0,3.0,,4.0,3.0,23.0,5.0,6.0,,2.0,3.0,3.83333333333,2.5,2.0,,1.0,0.0,1.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,,3.0,2.0,4.0,2.0,4.0,,3.0,2.0,4.0,2.0,4.0,,1.0,1.0,1.0,1.0,1.0,,7.0,5.0,27.0,7.0,10.0,,1.4,1.66666666667,2.7,1.75,1.42857142857,,5.0,3.0,10.0,4.0,7.0,13.0,,27.0,5.0,,23.0,4.0,,4.0,2.0,,0.0,0.0,,6.0,1.0,,4.0,2.0,,10.0,3.0,,2.0,0.0,,,,19,5,40,0,0
2016-09-19 03:00:00,2.0,1.0,6.0,2.0,3.0,3.0,4.0,3.0,23.0,5.0,6.0,12.0,2.0,3.0,3.83333333333,2.5,2.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,,7.0,5.0,27.0,7.0,10.0,12.0,1.4,1.66666666667,2.7,1.75,1.42857142857,4.0,5.0,3.0,10.0,4.0,7.0,3.0,30.0,68.0,27.0,5.0,53.0,12.0,3.0,15.0,4.0,0.0,0.0,0.0,0.0,17.0,6.0,1.0,15.0,4.0,0.0,32.0,10.0,3.0,4.0,2.0,0.0,2.125,3.11764705882,1.0,19,6,0,0,0
