tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,48.79
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,40.68
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,45.59
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,32.96
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,42.81
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,33.28
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,49.25
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,52.18
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,42.05
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,50.02
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,36.25
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,49.24
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,45.33
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,40.91
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,51.29
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,35.45
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,51.76
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,26.86
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,50.03
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,29.48
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,47.84
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,45.44
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,47.25
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,45.23
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,42.90
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,48.65
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,47.51
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,38.61
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,52.11
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,34.78
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,52.13
