,cargo_count0,cargo_count1,cargo_count2,cargo_count3,cargo_count4,cargo_count5,cargo_model0,cargo_model1,cargo_model2,cargo_model3,cargo_model4,cargo_model5,cargo_model_avg0,cargo_model_avg1,cargo_model_avg2,cargo_model_avg3,cargo_model_avg4,cargo_model_avg5,etc_count0,etc_count1,etc_count2,etc_count3,etc_count4,etc_count5,no_count0,no_count1,no_count2,no_count3,no_count4,no_count5,passenger_count0,passenger_count1,passenger_count2,passenger_count3,passenger_count4,passenger_count5,passenger_model0,passenger_model1,passenger_model2,passenger_model3,passenger_model4,passenger_model5,passenger_model_avg0,passenger_model_avg1,passenger_model_avg2,passenger_model_avg3,passenger_model_avg4,passenger_model_avg5,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model_avg0,vehicle_model_avg1,vehicle_model_avg2,vehicle_model_avg3,vehicle_model_avg4,vehicle_model_avg5,volume0,volume1,volume2,volume3,volume4,volume5,y,vehicle_all_model,cargo_all_model,passenger_all_model,no_all_count,cargo_all_count,passenger_all_count,volume_all,etc_all_count,vehicle_all_model_avg,cargo_all_model_avg,passenger_all_model_avg,hour,minute,week,weekend
2016-09-19 00:00:00,6.0,2.0,3.0,1.0,3.0,4.0,28.0,5.0,7.0,5.0,13.0,15.0,4.66666666667,2.5,2.33333333333,5.0,4.33333333333,3.75,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,13.0,16.0,14.0,7.0,11.0,14.0,13.0,16.0,14.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,39.0,19.0,20.0,21.0,27.0,22.0,2.29411764706,1.1875,1.25,1.23529411765,1.58823529412,2.0,17.0,16.0,16.0,17.0,17.0,11.0,18.0,148.0,73.0,75.0,0.0,19.0,75.0,94.0,5.0,1.57446808511,3.84210526316,1.0,2H,40M,0W,1
2016-09-19 00:20:00,2.0,3.0,1.0,3.0,4.0,1.0,5.0,7.0,5.0,13.0,15.0,2.0,2.5,2.33333333333,5.0,4.33333333333,3.75,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,16.0,14.0,7.0,10.0,14.0,13.0,16.0,14.0,7.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,20.0,21.0,27.0,22.0,12.0,1.1875,1.25,1.23529411765,1.58823529412,2.0,1.09090909091,16.0,16.0,17.0,17.0,11.0,11.0,10.0,121.0,47.0,74.0,0.0,14.0,74.0,88.0,5.0,1.375,3.35714285714,1.0,3H,0M,0W,1
2016-09-19 00:40:00,3.0,1.0,3.0,4.0,1.0,3.0,7.0,5.0,13.0,15.0,2.0,8.0,2.33333333333,5.0,4.33333333333,3.75,2.0,2.66666666667,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,14.0,7.0,10.0,11.0,13.0,16.0,14.0,7.0,10.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,21.0,27.0,22.0,12.0,19.0,1.25,1.23529411765,1.58823529412,2.0,1.09090909091,1.35714285714,16.0,17.0,17.0,11.0,11.0,14.0,10.0,121.0,50.0,71.0,0.0,15.0,71.0,86.0,4.0,1.40697674419,3.33333333333,1.0,3H,20M,0W,1
2016-09-19 01:00:00,1.0,3.0,4.0,1.0,3.0,4.0,5.0,13.0,15.0,2.0,8.0,8.0,5.0,4.33333333333,3.75,2.0,2.66666666667,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,7.0,10.0,11.0,14.0,16.0,14.0,7.0,10.0,11.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,27.0,22.0,12.0,19.0,22.0,1.23529411765,1.58823529412,2.0,1.09090909091,1.35714285714,1.22222222222,17.0,17.0,11.0,11.0,14.0,18.0,9.0,123.0,51.0,72.0,0.0,16.0,72.0,88.0,5.0,1.39772727273,3.1875,1.0,3H,40M,0W,1
2016-09-19 01:20:00,3.0,4.0,1.0,3.0,4.0,2.0,13.0,15.0,2.0,8.0,8.0,5.0,4.33333333333,3.75,2.0,2.66666666667,2.0,2.5,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,10.0,11.0,14.0,8.0,14.0,7.0,10.0,11.0,14.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,22.0,12.0,19.0,22.0,13.0,1.58823529412,2.0,1.09090909091,1.35714285714,1.22222222222,1.3,17.0,11.0,11.0,14.0,18.0,10.0,11.0,115.0,51.0,64.0,0.0,17.0,64.0,81.0,4.0,1.41975308642,3.0,1.0,4H,0M,0W,1
2016-09-19 01:40:00,4.0,1.0,3.0,4.0,2.0,1.0,15.0,2.0,8.0,8.0,5.0,2.0,3.75,2.0,2.66666666667,2.0,2.5,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,11.0,14.0,8.0,9.0,7.0,10.0,11.0,14.0,8.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,12.0,19.0,22.0,13.0,11.0,2.0,1.09090909091,1.35714285714,1.22222222222,1.3,1.1,11.0,11.0,14.0,18.0,10.0,10.0,8.0,99.0,40.0,59.0,0.0,15.0,59.0,74.0,2.0,1.33783783784,2.66666666667,1.0,4H,20M,0W,1
2016-09-19 02:00:00,1.0,3.0,4.0,2.0,1.0,1.0,2.0,8.0,8.0,5.0,2.0,5.0,2.0,2.66666666667,2.0,2.5,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,14.0,8.0,9.0,8.0,10.0,11.0,14.0,8.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,19.0,22.0,13.0,11.0,13.0,1.09090909091,1.35714285714,1.22222222222,1.3,1.1,1.44444444444,11.0,14.0,18.0,10.0,10.0,9.0,10.0,90.0,30.0,60.0,0.0,12.0,60.0,72.0,2.0,1.25,2.5,1.0,4H,40M,0W,1
2016-09-19 02:20:00,3.0,4.0,2.0,1.0,1.0,2.0,8.0,8.0,5.0,2.0,5.0,6.0,2.66666666667,2.0,2.5,2.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,8.0,9.0,8.0,9.0,11.0,14.0,8.0,9.0,8.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,22.0,13.0,11.0,13.0,15.0,1.35714285714,1.22222222222,1.3,1.1,1.44444444444,1.36363636364,14.0,18.0,10.0,10.0,9.0,11.0,9.0,93.0,34.0,59.0,0.0,13.0,59.0,72.0,3.0,1.29166666667,2.61538461538,1.0,5H,0M,0W,1
2016-09-19 02:40:00,4.0,2.0,1.0,1.0,2.0,3.0,8.0,5.0,2.0,5.0,6.0,8.0,2.0,2.5,2.0,5.0,3.0,2.66666666667,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,9.0,8.0,9.0,5.0,14.0,8.0,9.0,8.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,13.0,11.0,13.0,15.0,13.0,1.22222222222,1.3,1.1,1.44444444444,1.36363636364,1.625,18.0,10.0,10.0,9.0,11.0,8.0,14.0,87.0,34.0,53.0,0.0,13.0,53.0,66.0,3.0,1.31818181818,2.61538461538,1.0,5H,20M,0W,1
2016-09-19 03:00:00,2.0,1.0,1.0,2.0,3.0,1.0,5.0,2.0,5.0,6.0,8.0,5.0,2.5,2.0,5.0,3.0,2.66666666667,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,8.0,9.0,5.0,9.0,8.0,9.0,8.0,9.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,11.0,13.0,15.0,13.0,14.0,1.3,1.1,1.44444444444,1.36363636364,1.625,1.4,10.0,10.0,9.0,11.0,8.0,10.0,27.0,79.0,31.0,48.0,0.0,10.0,48.0,58.0,2.0,1.36206896552,3.1,1.0,5H,40M,0W,1
