tollgate_id,time_window,direction,volume
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,37.7465
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,51.3947
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,48.8391
1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",0,75.1327
1,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",0,38.7534
1,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",0,118.22
1,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",0,111.45
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",1,104.002
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",1,104.184
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",1,84.3943
1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",1,93.8874
1,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",1,107.829
1,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",1,110.983
1,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",1,112.1
2,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,92.6247
2,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,89.5977
2,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,84.7835
2,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",0,79.7214
2,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",0,84.3155
2,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",0,18.4342
2,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",0,13.7878
3,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,124.934
3,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,129.363
3,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,122.29
3,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",0,140.51
3,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",0,110.759
3,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",0,148.971
3,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",0,120.968
3,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",1,105.662
