,day,day_str,hour,hour_str,is_eight,is_eighteen,is_nine,is_seventeen,minute,minute_str,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,volume0,volume1,volume2,volume3,volume4,volume5,week,week_str,weekend,y,volume5_0,volume5_1,volume5_2,volume5_3
0,26,26D,2,2H,0,0,0,0,20,20M,13.0,10.0,26.0,2.0,6.0,17.0,9.0,6.0,11.0,2.0,2.0,7.0,0,0W,0,9.0,2.0,7.0,6.0,10.0
1,26,26D,2,2H,0,0,0,0,40,40M,10.0,26.0,2.0,6.0,17.0,22.0,6.0,11.0,2.0,2.0,7.0,8.0,0,0W,0,5.0,5.0,4.0,6.0,7.0
2,26,26D,3,3H,0,0,0,0,0,0M,26.0,2.0,6.0,17.0,22.0,25.0,11.0,2.0,2.0,7.0,8.0,9.0,0,0W,0,9.0,10.0,5.0,10.0,10.0
3,26,26D,3,3H,0,0,0,0,20,20M,2.0,6.0,17.0,22.0,25.0,21.0,2.0,2.0,7.0,8.0,9.0,5.0,0,0W,0,6.0,8.0,9.0,6.0,6.0
4,26,26D,3,3H,0,0,0,0,40,40M,6.0,17.0,22.0,25.0,21.0,24.0,2.0,7.0,8.0,9.0,5.0,9.0,0,0W,0,8.0,5.0,8.0,5.0,9.0
5,26,26D,4,4H,0,0,0,0,0,0M,17.0,22.0,25.0,21.0,24.0,17.0,7.0,8.0,9.0,5.0,9.0,6.0,0,0W,0,7.0,6.0,13.0,6.0,4.0
6,26,26D,4,4H,0,0,0,0,20,20M,22.0,25.0,21.0,24.0,17.0,20.0,8.0,9.0,5.0,9.0,6.0,8.0,0,0W,0,13.0,11.0,10.0,10.0,9.0
7,26,26D,4,4H,0,0,0,0,40,40M,25.0,21.0,24.0,17.0,20.0,9.0,9.0,5.0,9.0,6.0,8.0,7.0,0,0W,0,13.0,7.0,7.0,16.0,10.0
8,26,26D,5,5H,0,0,0,0,0,0M,21.0,24.0,17.0,20.0,9.0,22.0,5.0,9.0,6.0,8.0,7.0,13.0,0,0W,0,6.0,7.0,11.0,14.0,13.0
9,26,26D,5,5H,0,0,0,0,20,20M,24.0,17.0,20.0,9.0,22.0,26.0,9.0,6.0,8.0,7.0,13.0,13.0,0,0W,0,4.0,13.0,15.0,11.0,12.0
10,26,26D,5,5H,0,0,0,0,40,40M,17.0,20.0,9.0,22.0,26.0,8.0,6.0,8.0,7.0,13.0,13.0,6.0,0,0W,0,10.0,9.0,6.0,10.0,2.0
11,26,26D,6,6H,0,0,0,0,0,0M,20.0,9.0,22.0,26.0,8.0,5.0,8.0,7.0,13.0,13.0,6.0,4.0,0,0W,0,13.0,6.0,5.0,14.0,8.0
12,26,26D,6,6H,0,0,0,0,20,20M,9.0,22.0,26.0,8.0,5.0,13.0,7.0,13.0,13.0,6.0,4.0,10.0,0,0W,0,23.0,8.0,7.0,28.0,13.0
13,26,26D,6,6H,0,0,0,0,40,40M,22.0,26.0,8.0,5.0,13.0,15.0,13.0,13.0,6.0,4.0,10.0,13.0,0,0W,0,39.0,10.0,12.0,36.0,8.0
14,26,26D,7,7H,0,0,0,0,0,0M,26.0,8.0,5.0,13.0,15.0,23.0,13.0,6.0,4.0,10.0,13.0,23.0,0,0W,0,44.0,12.0,17.0,41.0,13.0
15,26,26D,7,7H,0,0,0,0,20,20M,8.0,5.0,13.0,15.0,23.0,49.0,6.0,4.0,10.0,13.0,23.0,39.0,0,0W,0,39.0,26.0,32.0,75.0,32.0
16,26,26D,7,7H,0,0,0,0,40,40M,5.0,13.0,15.0,23.0,49.0,54.0,4.0,10.0,13.0,23.0,39.0,44.0,0,0W,0,46.0,20.0,28.0,78.0,39.0
17,26,26D,8,8H,1,0,0,0,0,0M,13.0,15.0,23.0,49.0,54.0,41.0,10.0,13.0,23.0,39.0,44.0,39.0,0,0W,0,49.0,22.0,41.0,84.0,31.0
18,26,26D,8,8H,1,0,0,0,20,20M,15.0,23.0,49.0,54.0,41.0,48.0,13.0,23.0,39.0,44.0,39.0,46.0,0,0W,0,52.0,33.0,42.0,95.0,43.0
19,26,26D,8,8H,1,0,0,0,40,40M,23.0,49.0,54.0,41.0,48.0,58.0,23.0,39.0,44.0,39.0,46.0,49.0,0,0W,0,45.0,35.0,49.0,122.0,46.0
20,26,26D,9,9H,0,0,1,0,0,0M,49.0,54.0,41.0,48.0,58.0,55.0,39.0,44.0,39.0,46.0,49.0,52.0,0,0W,0,48.0,40.0,68.0,126.0,56.0
21,26,26D,9,9H,0,0,1,0,20,20M,54.0,41.0,48.0,58.0,55.0,48.0,44.0,39.0,46.0,49.0,52.0,45.0,0,0W,0,52.0,50.0,50.0,77.0,41.0
22,26,26D,9,9H,0,0,1,0,40,40M,41.0,48.0,58.0,55.0,48.0,53.0,39.0,46.0,49.0,52.0,45.0,48.0,0,0W,0,51.0,41.0,41.0,49.0,50.0
23,26,26D,10,10H,0,0,0,0,0,0M,48.0,58.0,55.0,48.0,53.0,57.0,46.0,49.0,52.0,45.0,48.0,52.0,0,0W,0,47.0,42.0,52.0,55.0,49.0
24,26,26D,10,10H,0,0,0,0,20,20M,58.0,55.0,48.0,53.0,57.0,61.0,49.0,52.0,45.0,48.0,52.0,51.0,0,0W,0,52.0,49.0,44.0,53.0,44.0
25,26,26D,10,10H,0,0,0,0,40,40M,55.0,48.0,53.0,57.0,61.0,51.0,52.0,45.0,48.0,52.0,51.0,47.0,0,0W,0,36.0,50.0,58.0,36.0,44.0
26,26,26D,11,11H,0,0,0,0,0,0M,48.0,53.0,57.0,61.0,51.0,56.0,45.0,48.0,52.0,51.0,47.0,52.0,0,0W,0,36.0,47.0,53.0,57.0,44.0
27,26,26D,11,11H,0,0,0,0,20,20M,53.0,57.0,61.0,51.0,56.0,42.0,48.0,52.0,51.0,47.0,52.0,36.0,0,0W,0,35.0,55.0,56.0,37.0,44.0
28,26,26D,11,11H,0,0,0,0,40,40M,57.0,61.0,51.0,56.0,42.0,47.0,52.0,51.0,47.0,52.0,36.0,36.0,0,0W,0,52.0,55.0,56.0,32.0,39.0
29,26,26D,12,12H,0,0,0,0,0,0M,61.0,51.0,56.0,42.0,47.0,42.0,51.0,47.0,52.0,36.0,36.0,35.0,0,0W,0,48.0,54.0,45.0,27.0,30.0
30,26,26D,12,12H,0,0,0,0,20,20M,51.0,56.0,42.0,47.0,42.0,65.0,47.0,52.0,36.0,36.0,35.0,52.0,0,0W,0,37.0,29.0,41.0,32.0,34.0
31,26,26D,12,12H,0,0,0,0,40,40M,56.0,42.0,47.0,42.0,65.0,51.0,52.0,36.0,36.0,35.0,52.0,48.0,0,0W,0,48.0,47.0,56.0,45.0,45.0
32,26,26D,13,13H,0,0,0,0,0,0M,42.0,47.0,42.0,65.0,51.0,41.0,36.0,36.0,35.0,52.0,48.0,37.0,0,0W,0,54.0,58.0,51.0,42.0,44.0
33,26,26D,13,13H,0,0,0,0,20,20M,47.0,42.0,65.0,51.0,41.0,54.0,36.0,35.0,52.0,48.0,37.0,48.0,0,0W,0,49.0,46.0,61.0,38.0,53.0
34,26,26D,13,13H,0,0,0,0,40,40M,42.0,65.0,51.0,41.0,54.0,63.0,35.0,52.0,48.0,37.0,48.0,54.0,0,0W,0,49.0,57.0,57.0,44.0,57.0
35,26,26D,14,14H,0,0,0,0,0,0M,65.0,51.0,41.0,54.0,63.0,53.0,52.0,48.0,37.0,48.0,54.0,49.0,0,0W,0,44.0,56.0,67.0,41.0,61.0
36,26,26D,14,14H,0,0,0,0,20,20M,51.0,41.0,54.0,63.0,53.0,54.0,48.0,37.0,48.0,54.0,49.0,49.0,0,0W,0,29.0,60.0,45.0,51.0,53.0
37,26,26D,14,14H,0,0,0,0,40,40M,41.0,54.0,63.0,53.0,54.0,47.0,37.0,48.0,54.0,49.0,49.0,44.0,0,0W,0,63.0,72.0,58.0,53.0,55.0
38,26,26D,15,15H,0,0,0,0,0,0M,54.0,63.0,53.0,54.0,47.0,34.0,48.0,54.0,49.0,49.0,44.0,29.0,0,0W,0,33.0,59.0,53.0,43.0,52.0
39,26,26D,15,15H,0,0,0,0,20,20M,63.0,53.0,54.0,47.0,34.0,70.0,54.0,49.0,49.0,44.0,29.0,63.0,0,0W,0,51.0,85.0,59.0,54.0,52.0
40,26,26D,15,15H,0,0,0,0,40,40M,53.0,54.0,47.0,34.0,70.0,39.0,49.0,49.0,44.0,29.0,63.0,33.0,0,0W,0,43.0,65.0,47.0,48.0,48.0
41,26,26D,16,16H,0,0,0,0,0,0M,54.0,47.0,34.0,70.0,39.0,57.0,49.0,44.0,29.0,63.0,33.0,51.0,0,0W,0,44.0,61.0,66.0,46.0,57.0
42,26,26D,16,16H,0,0,0,0,20,20M,47.0,34.0,70.0,39.0,57.0,49.0,44.0,29.0,63.0,33.0,51.0,43.0,0,0W,0,56.0,52.0,78.0,49.0,43.0
43,26,26D,16,16H,0,0,0,0,40,40M,34.0,70.0,39.0,57.0,49.0,52.0,29.0,63.0,33.0,51.0,43.0,44.0,0,0W,0,46.0,70.0,76.0,46.0,42.0
44,26,26D,17,17H,0,0,0,1,0,0M,70.0,39.0,57.0,49.0,52.0,61.0,63.0,33.0,51.0,43.0,44.0,56.0,0,0W,0,47.0,63.0,86.0,45.0,46.0
45,26,26D,17,17H,0,0,0,1,20,20M,39.0,57.0,49.0,52.0,61.0,49.0,33.0,51.0,43.0,44.0,56.0,46.0,0,0W,0,42.0,73.0,44.0,46.0,55.0
46,26,26D,17,17H,0,0,0,1,40,40M,57.0,49.0,52.0,61.0,49.0,52.0,51.0,43.0,44.0,56.0,46.0,47.0,0,0W,0,30.0,63.0,45.0,47.0,36.0
47,26,26D,18,18H,0,1,0,0,0,0M,49.0,52.0,61.0,49.0,52.0,45.0,43.0,44.0,56.0,46.0,47.0,42.0,0,0W,0,33.0,49.0,38.0,35.0,34.0
48,26,26D,18,18H,0,1,0,0,20,20M,52.0,61.0,49.0,52.0,45.0,30.0,44.0,56.0,46.0,47.0,42.0,30.0,0,0W,0,22.0,42.0,46.0,20.0,24.0
