,day,day_str,direction,hour,hour_str,is_eight,is_eighteen,is_nine,is_seventeen,minute,minute_str,tollgate_id,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,volume0,volume1,volume2,volume3,volume4,volume5,week,week_str,weekend,y
0,19.0,19D,entry,3.0,3H,0.0,0.0,0.0,0.0,40.0,40M,1S,22.0,6.0,17.0,22.0,20.0,14.0,13.0,6.0,9.0,10.0,14.0,10.0,0.0,0W,0.0,9.0
1,19.0,19D,entry,4.0,4H,0.0,0.0,0.0,0.0,0.0,0M,1S,6.0,17.0,22.0,20.0,14.0,19.0,6.0,9.0,10.0,14.0,10.0,7.0,0.0,0W,0.0,10.0
2,19.0,19D,entry,4.0,4H,0.0,0.0,0.0,0.0,20.0,20M,1S,17.0,22.0,20.0,14.0,19.0,23.0,9.0,10.0,14.0,10.0,7.0,10.0,0.0,0W,0.0,13.0
3,19.0,19D,entry,4.0,4H,0.0,0.0,0.0,0.0,40.0,40M,1S,22.0,20.0,14.0,19.0,23.0,20.0,10.0,14.0,10.0,7.0,10.0,6.0,0.0,0W,0.0,12.0
4,19.0,19D,entry,5.0,5H,0.0,0.0,0.0,0.0,0.0,0M,1S,20.0,14.0,19.0,23.0,20.0,19.0,14.0,10.0,7.0,10.0,6.0,9.0,0.0,0W,0.0,2.0
5,19.0,19D,entry,5.0,5H,0.0,0.0,0.0,0.0,20.0,20M,1S,14.0,19.0,23.0,20.0,19.0,6.0,10.0,7.0,10.0,6.0,9.0,4.0,0.0,0W,0.0,8.0
6,19.0,19D,entry,5.0,5H,0.0,0.0,0.0,0.0,40.0,40M,1S,19.0,23.0,20.0,19.0,6.0,18.0,7.0,10.0,6.0,9.0,4.0,9.0,0.0,0W,0.0,13.0
7,19.0,19D,entry,6.0,6H,0.0,0.0,0.0,0.0,0.0,0M,1S,23.0,20.0,19.0,6.0,18.0,18.0,10.0,6.0,9.0,4.0,9.0,10.0,0.0,0W,0.0,8.0
8,19.0,19D,entry,6.0,6H,0.0,0.0,0.0,0.0,20.0,20M,1S,20.0,19.0,6.0,18.0,18.0,21.0,6.0,9.0,4.0,9.0,10.0,13.0,0.0,0W,0.0,13.0
9,19.0,19D,entry,6.0,6H,0.0,0.0,0.0,0.0,40.0,40M,1S,19.0,6.0,18.0,18.0,21.0,20.0,9.0,4.0,9.0,10.0,13.0,12.0,0.0,0W,0.0,32.0
10,19.0,19D,entry,7.0,7H,0.0,0.0,0.0,0.0,0.0,0M,1S,6.0,18.0,18.0,21.0,20.0,4.0,4.0,9.0,10.0,13.0,12.0,2.0,0.0,0W,0.0,39.0
11,19.0,19D,entry,7.0,7H,0.0,0.0,0.0,0.0,20.0,20M,1S,18.0,18.0,21.0,20.0,4.0,10.0,9.0,10.0,13.0,12.0,2.0,8.0,0.0,0W,0.0,31.0
12,19.0,19D,entry,7.0,7H,0.0,0.0,0.0,0.0,40.0,40M,1S,18.0,21.0,20.0,4.0,10.0,14.0,10.0,13.0,12.0,2.0,8.0,13.0,0.0,0W,0.0,43.0
13,19.0,19D,entry,8.0,8H,1.0,0.0,0.0,0.0,0.0,0M,1S,21.0,20.0,4.0,10.0,14.0,10.0,13.0,12.0,2.0,8.0,13.0,8.0,0.0,0W,0.0,46.0
14,19.0,19D,entry,8.0,8H,1.0,0.0,0.0,0.0,20.0,20M,1S,20.0,4.0,10.0,14.0,10.0,14.0,12.0,2.0,8.0,13.0,8.0,13.0,0.0,0W,0.0,56.0
15,19.0,19D,entry,8.0,8H,1.0,0.0,0.0,0.0,40.0,40M,1S,4.0,10.0,14.0,10.0,14.0,39.0,2.0,8.0,13.0,8.0,13.0,32.0,0.0,0W,0.0,41.0
16,19.0,19D,entry,9.0,9H,0.0,0.0,1.0,0.0,0.0,0M,1S,10.0,14.0,10.0,14.0,39.0,47.0,8.0,13.0,8.0,13.0,32.0,39.0,0.0,0W,0.0,50.0
17,19.0,19D,entry,9.0,9H,0.0,0.0,1.0,0.0,20.0,20M,1S,14.0,10.0,14.0,39.0,47.0,32.0,13.0,8.0,13.0,32.0,39.0,31.0,0.0,0W,0.0,49.0
18,19.0,19D,entry,9.0,9H,0.0,0.0,1.0,0.0,40.0,40M,1S,10.0,14.0,39.0,47.0,32.0,47.0,8.0,13.0,32.0,39.0,31.0,43.0,0.0,0W,0.0,44.0
19,19.0,19D,entry,10.0,10H,0.0,0.0,0.0,0.0,0.0,0M,1S,14.0,39.0,47.0,32.0,47.0,51.0,13.0,32.0,39.0,31.0,43.0,46.0,0.0,0W,0.0,44.0
20,19.0,19D,entry,10.0,10H,0.0,0.0,0.0,0.0,20.0,20M,1S,39.0,47.0,32.0,47.0,51.0,67.0,32.0,39.0,31.0,43.0,46.0,56.0,0.0,0W,0.0,44.0
21,19.0,19D,entry,10.0,10H,0.0,0.0,0.0,0.0,40.0,40M,1S,47.0,32.0,47.0,51.0,67.0,35.0,39.0,31.0,43.0,46.0,56.0,41.0,0.0,0W,0.0,44.0
22,19.0,19D,entry,11.0,11H,0.0,0.0,0.0,0.0,0.0,0M,1S,32.0,47.0,51.0,67.0,35.0,56.0,31.0,43.0,46.0,56.0,41.0,50.0,0.0,0W,0.0,39.0
23,19.0,19D,entry,11.0,11H,0.0,0.0,0.0,0.0,20.0,20M,1S,47.0,51.0,67.0,35.0,56.0,59.0,43.0,46.0,56.0,41.0,50.0,49.0,0.0,0W,0.0,30.0
24,19.0,19D,entry,11.0,11H,0.0,0.0,0.0,0.0,40.0,40M,1S,51.0,67.0,35.0,56.0,59.0,46.0,46.0,56.0,41.0,50.0,49.0,44.0,0.0,0W,0.0,34.0
25,19.0,19D,entry,12.0,12H,0.0,0.0,0.0,0.0,0.0,0M,1S,67.0,35.0,56.0,59.0,46.0,50.0,56.0,41.0,50.0,49.0,44.0,44.0,0.0,0W,0.0,45.0
26,19.0,19D,entry,12.0,12H,0.0,0.0,0.0,0.0,20.0,20M,1S,35.0,56.0,59.0,46.0,50.0,45.0,41.0,50.0,49.0,44.0,44.0,44.0,0.0,0W,0.0,44.0
27,19.0,19D,entry,12.0,12H,0.0,0.0,0.0,0.0,40.0,40M,1S,56.0,59.0,46.0,50.0,45.0,49.0,50.0,49.0,44.0,44.0,44.0,44.0,0.0,0W,0.0,53.0
28,19.0,19D,entry,13.0,13H,0.0,0.0,0.0,0.0,0.0,0M,1S,59.0,46.0,50.0,45.0,49.0,47.0,49.0,44.0,44.0,44.0,44.0,39.0,0.0,0W,0.0,57.0
29,19.0,19D,entry,13.0,13H,0.0,0.0,0.0,0.0,20.0,20M,1S,46.0,50.0,45.0,49.0,47.0,35.0,44.0,44.0,44.0,44.0,39.0,30.0,0.0,0W,0.0,61.0
30,19.0,19D,entry,13.0,13H,0.0,0.0,0.0,0.0,40.0,40M,1S,50.0,45.0,49.0,47.0,35.0,41.0,44.0,44.0,44.0,39.0,30.0,34.0,0.0,0W,0.0,53.0
31,19.0,19D,entry,14.0,14H,0.0,0.0,0.0,0.0,0.0,0M,1S,45.0,49.0,47.0,35.0,41.0,47.0,44.0,44.0,39.0,30.0,34.0,45.0,0.0,0W,0.0,55.0
32,19.0,19D,entry,14.0,14H,0.0,0.0,0.0,0.0,20.0,20M,1S,49.0,47.0,35.0,41.0,47.0,50.0,44.0,39.0,30.0,34.0,45.0,44.0,0.0,0W,0.0,52.0
33,19.0,19D,entry,14.0,14H,0.0,0.0,0.0,0.0,40.0,40M,1S,47.0,35.0,41.0,47.0,50.0,61.0,39.0,30.0,34.0,45.0,44.0,53.0,0.0,0W,0.0,52.0
