tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,48.30
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,46.91
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,46.96
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,48.59
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,30.98
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,73.19
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,121.52
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,117.14
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,109.38
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,110.12
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,119.06
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,101.73
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,80.37
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,121.37
2,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,110.56
2,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,118.25
2,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,117.34
2,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,109.49
2,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,76.16
2,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,15.90
2,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,56.75
3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,153.18
3,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,153.30
3,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,142.95
3,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,145.91
3,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,116.89
3,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,118.54
3,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,194.05
3,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",1,111.18
3,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",1,109.33
3,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",1,109.61
3,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",1,91.48
3,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",1,80.19
3,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",1,81.13
3,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",1,130.73
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,50.46
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,49.12
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,50.43
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,50.24
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,37.05
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,80.74
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,124.56
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,125.60
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,119.35
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,118.11
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,120.17
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,107.63
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,85.47
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,125.22
2,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,119.13
2,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,112.48
2,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,117.75
2,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,110.40
2,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,79.71
2,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,20.70
2,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,53.38
3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,149.26
3,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,143.02
3,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,151.95
3,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,150.99
3,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,119.14
3,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,117.20
3,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,170.24
3,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",1,110.16
3,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",1,108.68
3,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",1,108.63
3,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",1,104.95
3,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",1,86.15
3,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",1,80.95
3,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",1,127.67
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,51.01
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,49.40
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,51.89
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,47.13
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,30.74
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,89.05
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,120.40
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,123.62
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",1,118.16
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",1,124.01
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",1,120.41
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",1,114.76
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",1,93.18
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",1,123.81
2,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,109.80
2,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,109.45
2,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,114.80
2,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,109.64
2,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,92.97
2,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,21.88
2,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,72.76
3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,147.57
3,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,141.59
3,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,150.88
3,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,142.01
3,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,118.05
3,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,131.17
3,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,168.94
3,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",1,129.06
3,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",1,126.89
3,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",1,134.50
3,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",1,122.32
3,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",1,100.29
3,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",1,100.47
3,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",1,143.54
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,52.14
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,52.42
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,51.84
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,52.56
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,32.34
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,95.31
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,128.60
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",1,120.88
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",1,107.95
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",1,114.82
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",1,119.93
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",1,108.05
