tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,38.28
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,43.73
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,36.52
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,34.58
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,34.49
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,34.20
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,34.71
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,55.42
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,30.95
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,46.72
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,23.20
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,53.03
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,42.96
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,36.63
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,97.10
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,74.20
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,94.63
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,73.27
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,98.15
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,72.97
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,93.60
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,79.74
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,65.19
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,74.33
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,65.52
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,78.45
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,116.48
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,73.52
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,93.71
2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,62.96
2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,94.32
2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,54.83
2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,94.47
2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,62.52
2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,84.83
2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,65.66
2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,46.15
2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,61.17
2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,37.41
2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,55.99
2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,112.19
2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,43.90
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,127.76
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,84.80
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,129.78
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,84.43
3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,120.69
3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,97.44
3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,133.67
3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,125.08
3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,76.30
3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,81.34
3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,70.76
3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,93.32
3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,133.80
3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,86.67
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,85.05
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,74.18
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,85.85
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,70.34
3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,94.31
3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,74.69
3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,75.99
3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,83.26
3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,65.73
3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,74.22
3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,53.94
3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,83.00
3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,94.59
3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,61.08
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,41.93
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,43.83
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,42.06
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,31.18
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,35.92
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,32.90
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,41.70
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,52.84
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,30.10
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,43.78
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,28.00
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,52.94
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,42.13
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,32.74
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,96.91
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,68.64
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,96.91
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,61.56
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,98.41
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,80.75
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,89.75
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",1,80.41
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,70.46
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",1,67.39
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,66.12
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",1,80.46
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,114.76
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",1,67.38
2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,88.23
2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,43.50
2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,93.17
2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,45.21
2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,95.84
2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,52.63
2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,87.16
2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,62.25
2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,45.00
2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,58.92
2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,41.18
2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,53.18
2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,99.95
2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,26.26
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,144.49
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,81.20
3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,143.71
3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,80.38
3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,117.53
3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,96.24
3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,147.57
3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,115.38
3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,87.02
3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,80.46
3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,72.94
3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,87.32
3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,146.65
3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,82.24
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,89.75
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,69.49
3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,95.79
3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,66.20
3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,97.27
3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,70.52
3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,87.57
3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",1,81.64
3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,70.35
3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",1,67.83
3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,46.90
3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",1,80.47
3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,97.04
3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",1,62.53
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,44.77
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,26.27
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,43.40
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,21.62
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,38.21
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,24.04
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,45.25
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,45.32
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,23.54
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,24.28
