tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,36.76
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,34.34
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,39.21
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,30.15
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,31.47
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,28.78
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,31.40
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,58.11
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,29.58
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,42.70
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,25.42
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,51.25
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,33.62
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,32.22
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,108.49
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,102.47
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,100.31
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,81.87
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,104.44
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,103.64
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,98.30
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,102.74
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,79.70
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,76.58
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,68.54
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,99.90
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,124.75
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,98.26
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,80.49
2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,71.18
2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,80.71
2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,52.58
2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,89.45
2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,68.30
2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,78.44
2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,71.03
2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,51.86
2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,53.88
2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,44.01
2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,52.92
2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,97.26
2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,73.76
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,130.96
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,97.19
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,120.36
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,76.94
3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,97.57
3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,107.88
3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,118.03
3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,122.95
3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,72.43
3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,81.41
3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,64.42
3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,97.80
3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,123.83
3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,99.36
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,99.19
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,80.45
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,99.08
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,75.78
3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,103.04
3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,80.72
3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,88.81
3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,98.68
3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,70.64
3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,79.75
3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,53.17
3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,92.84
3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,101.75
3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,77.49
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,44.75
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,37.14
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,44.70
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,25.33
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,26.76
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,25.48
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,35.30
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,52.08
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,27.57
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,37.14
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,26.12
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,46.75
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,35.49
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,33.09
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,100.11
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,97.28
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,96.80
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,76.55
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,104.23
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,98.26
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,96.11
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",1,94.16
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,94.03
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",1,71.39
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,73.84
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",1,92.32
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,117.85
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",1,93.07
2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,72.20
2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,60.04
2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,73.50
2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,47.73
2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,77.24
2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,56.33
2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,69.97
2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,60.00
2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,47.10
2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,51.18
2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,46.22
2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,50.27
2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,84.96
2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,61.36
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,118.62
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,76.00
3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,100.13
3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,68.34
3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,89.97
3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,97.26
3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,99.73
3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,108.63
3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,60.63
3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,71.71
3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,59.08
3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,81.92
3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,108.33
3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,89.77
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,97.57
3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,75.46
3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,97.69
3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,68.09
3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,100.45
3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,75.99
3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,94.01
3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",1,90.22
3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,84.65
3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",1,78.03
3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,58.05
3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",1,81.78
3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,98.00
3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",1,72.47
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,49.96
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,37.62
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,50.59
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,23.70
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,32.25
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,23.72
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,42.36
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,48.95
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,42.96
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,39.97
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,36.28
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,43.09
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,40.38
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,33.13
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,114.73
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,95.94
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,100.96
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,68.56
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,110.23
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",1,84.58
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,100.98
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",1,92.17
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,97.96
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",1,66.98
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,82.45
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",1,76.89
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,123.28
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",1,92.13
2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,66.88
2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,49.64
2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,64.88
2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,48.52
2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,66.54
2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,49.48
2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,64.30
2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,49.69
2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,41.31
2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,43.94
2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,52.85
2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,42.81
2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,73.84
2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,50.45
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,101.21
3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,67.23
3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,92.40
3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,51.79
3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,76.99
3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,74.94
3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,92.36
3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,100.32
3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,62.56
3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,66.20
3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,59.06
3,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,67.99
3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,99.66
3,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,67.87
3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,104.10
3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,67.52
