tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,48.17
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,47.92
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,48.42
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,34.18
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,34.89
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,34.35
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,38.32
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,65.83
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,37.61
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,48.38
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,30.20
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,56.71
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,37.22
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,46.77
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,107.36
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,85.11
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,96.65
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,79.40
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,105.18
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,85.44
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,104.19
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,85.67
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,78.21
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,80.05
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,70.12
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,89.04
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,112.63
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,85.04
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,94.89
2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,72.11
2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,96.31
2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,56.89
2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,96.26
2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,71.07
2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,88.67
2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,75.68
2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,49.25
2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,70.97
2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,48.41
2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,57.21
2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,107.44
2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,72.88
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,113.88
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,89.20
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,113.85
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,85.23
3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,109.06
3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,100.40
3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,113.13
3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,117.37
3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,77.71
3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,85.59
3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,79.59
3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,97.66
3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,119.56
3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,97.46
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,94.82
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,79.12
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,104.25
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,73.65
3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,104.23
3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,79.65
3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,84.69
3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,85.17
3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,78.27
3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,79.35
3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,55.11
3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,85.53
3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,106.77
3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,79.39
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,51.02
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,44.52
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,57.40
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,29.40
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,46.49
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,30.14
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,47.54
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,56.35
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,43.76
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,43.88
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,43.17
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,52.31
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,44.36
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,43.36
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,110.32
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,82.62
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,108.69
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,59.03
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,109.37
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,83.64
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,108.78
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",1,83.28
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,100.37
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",1,72.54
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,82.82
