tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,43.24
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,46.70
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,40.89
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,36.52
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,39.50
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,36.33
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,41.03
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,66.92
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,35.36
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,46.65
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,24.11
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,56.68
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,43.83
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,44.12
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,106.67
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,83.85
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,95.40
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,81.09
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,105.14
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,83.42
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,92.95
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,86.63
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,67.43
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,82.29
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,67.18
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,87.23
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,110.64
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,85.50
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,88.79
2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,74.98
2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,94.64
2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,56.96
2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,104.42
2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,68.20
2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,85.21
2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,75.49
2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,48.03
2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,68.07
2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,43.10
2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,57.97
2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,106.71
2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,69.66
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,125.05
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,92.02
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,125.06
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,85.88
3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,113.00
3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,103.11
3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,123.06
3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,115.67
3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,79.59
3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,86.67
3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,74.34
3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,96.19
3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,125.16
3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,96.09
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,90.29
3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,82.68
3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,93.61
3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,76.30
3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,93.86
3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,82.29
3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,81.43
3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,86.41
3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,65.65
3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,81.76
3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,47.78
3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,85.92
3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,104.01
3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,75.76
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,47.00
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,44.35
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,47.08
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,30.47
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,44.55
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,30.75
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,46.34
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,57.66
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,45.78
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,44.87
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,33.47
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,54.73
