tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,48.48
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,46.65
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,51.48
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,31.23
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,35.62
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,31.39
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,38.82
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,66.44
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,36.42
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,47.65
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,31.57
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,52.23
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,43.00
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,42.43
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,114.89
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,88.20
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,102.84
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,79.69
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,114.06
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,89.66
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,103.06
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,93.23
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,87.69
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,80.15
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,77.55
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,93.17
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,116.55
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,89.59
