time,y,day,hour,is_eight,is_nine,is_eighteen,is_seventeen,minute,week,weekend
2016-09-19 00:00:00,13.0,19D,0H,0,0,0,0,0M,0W,1
2016-09-19 00:20:00,6.0,19D,0H,0,0,0,0,20M,0W,1
2016-09-19 00:40:00,9.0,19D,0H,0,0,0,0,40M,0W,1
2016-09-19 01:00:00,10.0,19D,1H,0,0,0,0,0M,0W,1
2016-09-19 01:20:00,14.0,19D,1H,0,0,0,0,20M,0W,1
2016-09-19 01:40:00,10.0,19D,1H,0,0,0,0,40M,0W,1
2016-09-19 02:00:00,7.0,19D,2H,0,0,0,0,0M,0W,1
2016-09-19 02:20:00,10.0,19D,2H,0,0,0,0,20M,0W,1
2016-09-19 02:40:00,6.0,19D,2H,0,0,0,0,40M,0W,1
2016-09-19 03:00:00,9.0,19D,3H,0,0,0,0,0M,0W,1
2016-09-19 03:20:00,4.0,19D,3H,0,0,0,0,20M,0W,1
2016-09-19 03:40:00,9.0,19D,3H,0,0,0,0,40M,0W,1
2016-09-19 04:00:00,10.0,19D,4H,0,0,0,0,0M,0W,1
2016-09-19 04:20:00,13.0,19D,4H,0,0,0,0,20M,0W,1
2016-09-19 04:40:00,12.0,19D,4H,0,0,0,0,40M,0W,1
2016-09-19 05:00:00,2.0,19D,5H,0,0,0,0,0M,0W,1
2016-09-19 05:20:00,8.0,19D,5H,0,0,0,0,20M,0W,1
2016-09-19 05:40:00,13.0,19D,5H,0,0,0,0,40M,0W,1
2016-09-19 06:00:00,8.0,19D,6H,0,0,0,0,0M,0W,1
2016-09-19 06:20:00,13.0,19D,6H,0,0,0,0,20M,0W,1
2016-09-19 06:40:00,32.0,19D,6H,0,0,0,0,40M,0W,1
2016-09-19 07:00:00,39.0,19D,7H,0,0,0,0,0M,0W,1
2016-09-19 07:20:00,31.0,19D,7H,0,0,0,0,20M,0W,1
2016-09-19 07:40:00,43.0,19D,7H,0,0,0,0,40M,0W,1
2016-09-19 08:00:00,46.0,19D,8H,1,0,0,0,0M,0W,1
2016-09-19 08:20:00,56.0,19D,8H,1,0,0,0,20M,0W,1
2016-09-19 08:40:00,41.0,19D,8H,1,0,0,0,40M,0W,1
2016-09-19 09:00:00,50.0,19D,9H,0,1,0,0,0M,0W,1
2016-09-19 09:20:00,49.0,19D,9H,0,1,0,0,20M,0W,1
2016-09-19 09:40:00,44.0,19D,9H,0,1,0,0,40M,0W,1
2016-09-19 10:00:00,44.0,19D,10H,0,0,0,0,0M,0W,1
2016-09-19 10:20:00,44.0,19D,10H,0,0,0,0,20M,0W,1
2016-09-19 10:40:00,44.0,19D,10H,0,0,0,0,40M,0W,1
2016-09-19 11:00:00,39.0,19D,11H,0,0,0,0,0M,0W,1
2016-09-19 11:20:00,30.0,19D,11H,0,0,0,0,20M,0W,1
2016-09-19 11:40:00,34.0,19D,11H,0,0,0,0,40M,0W,1
2016-09-19 12:00:00,45.0,19D,12H,0,0,0,0,0M,0W,1
2016-09-19 12:20:00,44.0,19D,12H,0,0,0,0,20M,0W,1
2016-09-19 12:40:00,53.0,19D,12H,0,0,0,0,40M,0W,1
2016-09-19 13:00:00,57.0,19D,13H,0,0,0,0,0M,0W,1
2016-09-19 13:20:00,61.0,19D,13H,0,0,0,0,20M,0W,1
2016-09-19 13:40:00,53.0,19D,13H,0,0,0,0,40M,0W,1
