time,y,day_str,hour_str,is_eight,is_nine,is_eighteen,is_seventeen,minute_str,week_str,day,hour,minute,week,weekend
2016-09-19 00:00:00,140.0,19D,0H,0,0,0,0,0M,0W,19,0,0,0,0
2016-09-19 00:20:00,56.0,19D,0H,0,0,0,0,20M,0W,19,0,20,0,0
2016-09-19 00:40:00,31.0,19D,0H,0,0,0,0,40M,0W,19,0,40,0,0
2016-09-19 01:00:00,4.0,19D,1H,0,0,0,0,0M,0W,19,1,0,0,0
2016-09-19 01:20:00,14.0,19D,1H,0,0,0,0,20M,0W,19,1,20,0,0
2016-09-19 01:40:00,7.0,19D,1H,0,0,0,0,40M,0W,19,1,40,0,0
2016-09-19 02:00:00,7.0,19D,2H,0,0,0,0,0M,0W,19,2,0,0,0
2016-09-19 02:20:00,7.0,19D,2H,0,0,0,0,20M,0W,19,2,20,0,0
2016-09-19 02:40:00,10.0,19D,2H,0,0,0,0,40M,0W,19,2,40,0,0
2016-09-19 03:00:00,10.0,19D,3H,0,0,0,0,0M,0W,19,3,0,0,0
2016-09-19 03:20:00,14.0,19D,3H,0,0,0,0,20M,0W,19,3,20,0,0
2016-09-19 03:40:00,20.0,19D,3H,0,0,0,0,40M,0W,19,3,40,0,0
2016-09-19 04:00:00,18.0,19D,4H,0,0,0,0,0M,0W,19,4,0,0,0
2016-09-19 04:20:00,17.0,19D,4H,0,0,0,0,20M,0W,19,4,20,0,0
2016-09-19 04:40:00,23.0,19D,4H,0,0,0,0,40M,0W,19,4,40,0,0
2016-09-19 05:00:00,28.0,19D,5H,0,0,0,0,0M,0W,19,5,0,0,0
2016-09-19 05:20:00,24.0,19D,5H,0,0,0,0,20M,0W,19,5,20,0,0
2016-09-19 05:40:00,34.0,19D,5H,0,0,0,0,40M,0W,19,5,40,0,0
2016-09-19 06:00:00,39.0,19D,6H,0,0,0,0,0M,0W,19,6,0,0,0
2016-09-19 06:20:00,57.0,19D,6H,0,0,0,0,20M,0W,19,6,20,0,0
2016-09-19 06:40:00,72.0,19D,6H,0,0,0,0,40M,0W,19,6,40,0,0
2016-09-19 07:00:00,70.0,19D,7H,0,0,0,0,0M,0W,19,7,0,0,0
2016-09-19 07:20:00,83.0,19D,7H,0,0,0,0,20M,0W,19,7,20,0,0
2016-09-19 07:40:00,118.0,19D,7H,0,0,0,0,40M,0W,19,7,40,0,0
2016-09-19 08:00:00,123.0,19D,8H,1,0,0,0,0M,0W,19,8,0,0,0
2016-09-19 08:20:00,119.0,19D,8H,1,0,0,0,20M,0W,19,8,20,0,0
2016-09-19 08:40:00,116.0,19D,8H,1,0,0,0,40M,0W,19,8,40,0,0
2016-09-19 09:00:00,120.0,19D,9H,0,1,0,0,0M,0W,19,9,0,0,0
2016-09-19 09:20:00,151.0,19D,9H,0,1,0,0,20M,0W,19,9,20,0,0
2016-09-19 09:40:00,131.0,19D,9H,0,1,0,0,40M,0W,19,9,40,0,0
2016-09-19 10:00:00,101.0,19D,10H,0,0,0,0,0M,0W,19,10,0,0,0
2016-09-19 10:20:00,105.0,19D,10H,0,0,0,0,20M,0W,19,10,20,0,0
2016-09-19 10:40:00,102.0,19D,10H,0,0,0,0,40M,0W,19,10,40,0,0
2016-09-19 11:00:00,86.0,19D,11H,0,0,0,0,0M,0W,19,11,0,0,0
2016-09-19 11:20:00,76.0,19D,11H,0,0,0,0,20M,0W,19,11,20,0,0
2016-09-19 11:40:00,100.0,19D,11H,0,0,0,0,40M,0W,19,11,40,0,0
2016-09-19 12:00:00,99.0,19D,12H,0,0,0,0,0M,0W,19,12,0,0,0
