tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,48.44
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,34.54
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,53.78
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,33.89
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,54.30
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,49.59
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,86.68
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,61.26
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,54.56
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,34.80
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,39.76
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,33.89
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,54.70
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,49.82
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,53.44
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,30.65
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,61.09
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,35.87
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,53.90
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,51.28
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,61.94
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,56.12
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,53.69
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,31.28
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,50.70
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,30.63
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,59.07
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,52.14
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,54.54
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,30.20
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,56.18
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,30.16
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,60.13
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,50.85
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,59.85
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,54.82
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,55.20
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,34.49
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,49.31
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,28.94
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,55.53
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,51.06
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,57.85
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,27.11
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,51.82
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,26.55
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,58.65
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,29.35
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,64.85
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,47.26
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,55.74
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",0,26.45
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,53.38
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",0,25.29
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,58.99
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",0,36.97
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,54.86
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,27.55
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,51.33
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,27.02
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,56.87
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,29.16
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,58.45
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,49.47
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,55.44
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",0,26.48
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,52.71
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",0,26.53
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,58.32
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",0,42.09
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,50.21
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,26.68
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,51.14
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,27.40
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,52.82
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,29.71
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,58.16
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,41.27
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,51.01
1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",0,26.79
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,52.16
1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",0,24.69
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,55.59
1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",0,37.91
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,105.26
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,100.82
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,111.76
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,103.79
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,107.06
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,102.73
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,106.01
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,105.31
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,103.97
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,98.91
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,109.80
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,107.45
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,106.71
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,103.21
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,111.36
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,106.52
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,112.99
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,106.11
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,112.46
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,106.80
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,111.78
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",1,105.91
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,100.81
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",1,106.62
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,112.21
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",1,109.69
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,110.59
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",1,102.18
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,103.51
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,106.26
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,104.25
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,104.81
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,112.22
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",1,99.49
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,112.94
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",1,110.29
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,98.64
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",1,107.54
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,108.85
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",1,104.48
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,110.62
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",1,103.71
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,113.00
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,64.38
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,110.07
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,66.06
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,109.06
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",1,74.15
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,110.60
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",1,67.85
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",1,109.29
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",1,77.42
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",1,111.20
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",1,91.54
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",1,102.22
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",1,65.75
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,101.35
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,70.70
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,109.05
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",1,67.64
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,108.78
