tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,47.47
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,41.02
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,49.14
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,36.36
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,45.50
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,42.91
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,51.00
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,53.05
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,44.97
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,43.09
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,39.64
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,41.03
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,47.60
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,43.96
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,49.85
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,28.09
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,52.71
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,30.27
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,46.18
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,34.88
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,51.87
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,47.57
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,49.18
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,39.15
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,47.91
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,40.15
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,52.09
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,46.13
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,50.26
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,31.00
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,51.73
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,28.79
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,47.63
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,34.64
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,59.95
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,42.58
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,47.59
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,36.73
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,44.97
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,36.67
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,50.67
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,40.17
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,50.32
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,26.91
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,50.38
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,26.77
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,48.65
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,28.18
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,53.72
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,41.49
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,50.41
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",0,30.89
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,41.27
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",0,31.02
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,51.70
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",0,29.61
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,51.64
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,25.82
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,51.64
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,25.47
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,50.26
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,22.85
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,55.41
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,43.95
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,50.68
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",0,26.60
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,44.15
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",0,33.11
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,54.27
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",0,29.25
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,46.75
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,25.83
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,50.60
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,26.03
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,45.05
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,22.73
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,52.81
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,35.78
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,48.65
1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",0,30.73
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,46.52
1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",0,30.39
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,52.52
1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",0,34.95
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,96.86
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,94.21
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,98.67
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,78.40
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,95.99
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,93.60
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,97.67
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,95.04
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,91.14
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,80.27
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,93.44
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,93.72
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,102.26
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,94.47
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,103.69
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,100.78
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,103.05
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,92.47
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,102.05
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,102.70
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,100.89
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",1,99.86
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,94.41
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",1,93.20
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,94.79
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",1,95.94
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,101.31
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",1,100.80
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,100.61
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,101.77
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,101.54
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,79.75
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,103.51
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",1,97.88
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,104.38
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",1,102.25
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,94.46
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",1,80.28
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,91.86
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",1,91.28
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,104.37
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",1,99.77
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,104.35
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,79.12
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,108.14
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,54.05
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,109.70
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",1,82.20
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,106.24
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",1,66.92
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",1,101.97
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",1,71.61
