,cargo_count0,cargo_count1,cargo_count2,cargo_count3,cargo_count4,cargo_count5,cargo_model0,cargo_model1,cargo_model2,cargo_model3,cargo_model4,cargo_model5,cargo_model_avg0,cargo_model_avg1,cargo_model_avg2,cargo_model_avg3,cargo_model_avg4,cargo_model_avg5,etc_count0,etc_count1,etc_count2,etc_count3,etc_count4,etc_count5,etc_model0,etc_model1,etc_model2,etc_model3,etc_model4,etc_model5,no_etc_count0,no_etc_count1,no_etc_count2,no_etc_count3,no_etc_count4,no_etc_count5,no_etc_model0,no_etc_model1,no_etc_model2,no_etc_model3,no_etc_model4,no_etc_model5,passenger_count0,passenger_count1,passenger_count2,passenger_count3,passenger_count4,passenger_count5,passenger_model0,passenger_model1,passenger_model2,passenger_model3,passenger_model4,passenger_model5,passenger_model_avg0,passenger_model_avg1,passenger_model_avg2,passenger_model_avg3,passenger_model_avg4,passenger_model_avg5,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model_avg0,vehicle_model_avg1,vehicle_model_avg2,vehicle_model_avg3,vehicle_model_avg4,vehicle_model_avg5,volume0,volume1,volume2,volume3,volume4,volume5,y,vehicle_all_model,etc_all_model,etc_all_count,etc_avg_model,cargo_all_model,passenger_all_model,cargo_all_count,passenger_all_count,cargo_avg_model,passenger_avg_model,volume_all,vehicle_avg_model,day,hour,minute,week,weekend
0,25.0,24.0,9.0,4.0,1.0,2.0,44.0,52.0,12.0,6.0,4.0,7.0,1.76,2.16666666667,1.33333333333,1.5,4.0,3.5,26.0,18.0,11.0,4.0,1.0,2.0,32.0,27.0,13.0,4.0,1.0,2.0,79.0,63.0,30.0,9.0,6.0,2.0,104.0,122.0,41.0,11.0,9.0,7.0,80.0,57.0,32.0,9.0,6.0,2.0,92.0,97.0,42.0,9.0,6.0,2.0,1.15,1.70175438596,1.3125,1.0,1.0,1.0,136.0,149.0,54.0,15.0,10.0,9.0,1.29523809524,1.83950617284,1.31707317073,1.15384615385,1.42857142857,2.25,105.0,81.0,41.0,13.0,7.0,4.0,9.0,373.0,79.0,62.0,1.27419354839,125.0,248.0,65.0,186.0,1.92307692308,1.33333333333,251.0,1.48605577689,18,2,20,1,0
1,24.0,9.0,4.0,1.0,2.0,2.0,52.0,12.0,6.0,4.0,7.0,2.0,2.16666666667,1.33333333333,1.5,4.0,3.5,1.0,18.0,11.0,4.0,1.0,2.0,0.0,27.0,13.0,4.0,1.0,2.0,0.0,63.0,30.0,9.0,6.0,2.0,3.0,122.0,41.0,11.0,9.0,7.0,3.0,57.0,32.0,9.0,6.0,2.0,1.0,97.0,42.0,9.0,6.0,2.0,1.0,1.70175438596,1.3125,1.0,1.0,1.0,1.0,149.0,54.0,15.0,10.0,9.0,3.0,1.83950617284,1.31707317073,1.15384615385,1.42857142857,2.25,1.0,81.0,41.0,13.0,7.0,4.0,3.0,4.0,240.0,47.0,36.0,1.30555555556,83.0,157.0,42.0,107.0,1.97619047619,1.46728971963,149.0,1.61073825503,18,2,40,1,0
2,9.0,4.0,1.0,2.0,2.0,5.0,12.0,6.0,4.0,7.0,2.0,6.0,1.33333333333,1.5,4.0,3.5,1.0,1.2,11.0,4.0,1.0,2.0,0.0,1.0,13.0,4.0,1.0,2.0,0.0,1.0,30.0,9.0,6.0,2.0,3.0,8.0,41.0,11.0,9.0,7.0,3.0,9.0,32.0,9.0,6.0,2.0,1.0,4.0,42.0,9.0,6.0,2.0,1.0,4.0,1.3125,1.0,1.0,1.0,1.0,1.0,54.0,15.0,10.0,9.0,3.0,10.0,1.31707317073,1.15384615385,1.42857142857,2.25,1.0,1.11111111111,41.0,13.0,7.0,4.0,3.0,9.0,11.0,101.0,21.0,19.0,1.10526315789,37.0,64.0,23.0,54.0,1.60869565217,1.18518518519,77.0,1.31168831169,18,3,0,1,0
3,4.0,1.0,2.0,2.0,5.0,4.0,6.0,4.0,7.0,2.0,6.0,9.0,1.5,4.0,3.5,1.0,1.2,2.25,4.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,9.0,6.0,2.0,3.0,8.0,4.0,11.0,9.0,7.0,3.0,9.0,9.0,9.0,6.0,2.0,1.0,4.0,0.0,9.0,6.0,2.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,10.0,9.0,3.0,10.0,9.0,1.15384615385,1.42857142857,2.25,1.0,1.11111111111,2.25,13.0,7.0,4.0,3.0,9.0,4.0,9.0,56.0,8.0,8.0,1.0,34.0,22.0,18.0,22.0,1.88888888889,1.0,40.0,1.4,18,3,20,1,0
4,1.0,2.0,2.0,5.0,4.0,7.0,4.0,7.0,2.0,6.0,9.0,11.0,4.0,3.5,1.0,1.2,2.25,1.57142857143,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,6.0,2.0,3.0,8.0,4.0,10.0,9.0,7.0,3.0,9.0,9.0,14.0,6.0,2.0,1.0,4.0,0.0,4.0,6.0,2.0,1.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,9.0,3.0,10.0,9.0,15.0,1.42857142857,2.25,1.0,1.11111111111,2.25,1.36363636364,7.0,4.0,3.0,9.0,4.0,11.0,16.0,56.0,5.0,5.0,1.0,39.0,17.0,21.0,17.0,1.85714285714,1.0,38.0,1.47368421053,18,3,40,1,0
5,2.0,2.0,5.0,4.0,7.0,7.0,7.0,2.0,6.0,9.0,11.0,11.0,3.5,1.0,1.2,2.25,1.57142857143,1.57142857143,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,8.0,4.0,10.0,9.0,7.0,3.0,9.0,9.0,14.0,13.0,2.0,1.0,4.0,0.0,4.0,2.0,2.0,1.0,4.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0,3.0,10.0,9.0,15.0,13.0,2.25,1.0,1.11111111111,2.25,1.36363636364,1.44444444444,4.0,3.0,9.0,4.0,11.0,9.0,19.0,59.0,4.0,4.0,1.0,46.0,13.0,27.0,13.0,1.7037037037,1.0,40.0,1.475,18,4,0,1,0
6,2.0,5.0,4.0,7.0,7.0,9.0,2.0,6.0,9.0,11.0,11.0,9.0,1.0,1.2,2.25,1.57142857143,1.57142857143,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,8.0,4.0,10.0,9.0,14.0,3.0,9.0,9.0,14.0,13.0,14.0,1.0,4.0,0.0,4.0,2.0,7.0,1.0,4.0,0.0,4.0,2.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,10.0,9.0,15.0,13.0,16.0,1.0,1.11111111111,2.25,1.36363636364,1.44444444444,1.0,3.0,9.0,4.0,11.0,9.0,16.0,14.0,66.0,4.0,4.0,1.0,48.0,18.0,34.0,18.0,1.41176470588,1.0,52.0,1.26923076923,18,4,20,1,0
7,5.0,4.0,7.0,7.0,9.0,12.0,6.0,9.0,11.0,11.0,9.0,36.0,1.2,2.25,1.57142857143,1.57142857143,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,4.0,10.0,9.0,14.0,18.0,9.0,9.0,14.0,13.0,14.0,42.0,4.0,0.0,4.0,2.0,7.0,7.0,4.0,0.0,4.0,2.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,9.0,15.0,13.0,16.0,43.0,1.11111111111,2.25,1.36363636364,1.44444444444,1.0,2.26315789474,9.0,4.0,11.0,9.0,16.0,19.0,27.0,106.0,5.0,5.0,1.0,82.0,24.0,44.0,24.0,1.86363636364,1.0,68.0,1.55882352941,18,4,40,1,0
8,4.0,7.0,7.0,9.0,12.0,13.0,9.0,11.0,11.0,9.0,36.0,23.0,2.25,1.57142857143,1.57142857143,1.0,3.0,1.76923076923,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,10.0,9.0,14.0,18.0,14.0,9.0,14.0,13.0,14.0,42.0,24.0,0.0,4.0,2.0,7.0,7.0,1.0,0.0,4.0,2.0,7.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0,15.0,13.0,16.0,43.0,24.0,2.25,1.36363636364,1.44444444444,1.0,2.26315789474,1.71428571429,4.0,11.0,9.0,16.0,19.0,14.0,29.0,120.0,4.0,4.0,1.0,99.0,21.0,52.0,21.0,1.90384615385,1.0,73.0,1.64383561644,18,5,0,1,0
9,7.0,7.0,9.0,12.0,13.0,16.0,11.0,11.0,9.0,36.0,23.0,40.0,1.57142857143,1.57142857143,1.0,3.0,1.76923076923,2.5,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,10.0,9.0,14.0,18.0,14.0,26.0,14.0,13.0,14.0,42.0,24.0,50.0,4.0,2.0,7.0,7.0,1.0,11.0,4.0,2.0,7.0,7.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,13.0,16.0,43.0,24.0,51.0,1.36363636364,1.44444444444,1.0,2.26315789474,1.71428571429,1.88888888889,11.0,9.0,16.0,19.0,14.0,27.0,30.0,162.0,5.0,5.0,1.0,130.0,32.0,64.0,32.0,2.03125,1.0,96.0,1.6875,18,5,20,1,0
