,cargo_count0,cargo_count1,cargo_count2,cargo_count3,cargo_count4,cargo_count5,cargo_model0,cargo_model1,cargo_model2,cargo_model3,cargo_model4,cargo_model5,cargo_model_avg0,cargo_model_avg1,cargo_model_avg2,cargo_model_avg3,cargo_model_avg4,cargo_model_avg5,etc_count0,etc_count1,etc_count2,etc_count3,etc_count4,etc_count5,no_count0,no_count1,no_count2,no_count3,no_count4,no_count5,passenger_count0,passenger_count1,passenger_count2,passenger_count3,passenger_count4,passenger_count5,passenger_model0,passenger_model1,passenger_model2,passenger_model3,passenger_model4,passenger_model5,passenger_model_avg0,passenger_model_avg1,passenger_model_avg2,passenger_model_avg3,passenger_model_avg4,passenger_model_avg5,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model_avg0,vehicle_model_avg1,vehicle_model_avg2,vehicle_model_avg3,vehicle_model_avg4,vehicle_model_avg5,volume0,volume1,volume2,volume3,volume4,volume5,y,vehicle_all_model,cargo_all_model,passenger_all_model,no_all_count,cargo_all_count,passenger_all_count,volume_all,etc_all_count,vehicle_all_model_avg,cargo_all_model_avg,passenger_all_model_avg,vehicle_all_model_avg_S2,vehicle_all_model_avg_S3,vehicle_all_model_avg_sqrt,vehicle_model_avg5_S2,vehicle_model_avg5_S3,vehicle_model_avg5_sqrt,vehicle_model_avg4_S2,vehicle_model_avg4_S3,vehicle_model_avg4_sqrt,vehicle_model_avg3_S2,vehicle_model_avg3_S3,vehicle_model_avg3_sqrt,vehicle_model_avg2_S2,vehicle_model_avg2_S3,vehicle_model_avg2_sqrt,vehicle_model_avg1_S2,vehicle_model_avg1_S3,vehicle_model_avg1_sqrt,vehicle_model_avg0_S2,vehicle_model_avg0_S3,passenger_all_model_avg_S2,passenger_all_model_avg_S3,no_all_count_S2,no_all_count_S3,no_all_count_sqrt,no_count4_S2,no_count4_S3,no_count4_sqrt,volume1_S2,volume1_S3,volume1_sqrt,no_count5_S2,no_count5_S3,no_count5_sqrt,volume2_S2,volume2_S3,volume2_sqrt,volume3_S2,volume3_S3,volume3_sqrt,volume_all_S2,volume_all_S3,volume_all_sqrt,volume4_S2,volume4_S3,volume4_sqrt,volume5_S2,volume5_S3,volume5_sqrt,month,day,hour,minute
2016-09-19 00:00:00,3.0,0.0,2.0,3.0,3.0,1.0,12.0,0.0,7.0,15.0,10.0,5.0,4.0,0.0,3.5,5.0,3.33333333333,5.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,6.0,7.0,7.0,10.0,9.0,10.0,6.0,10.0,7.0,10.0,9.0,1.0,1.0,1.42857142857,1.0,1.0,1.0,22.0,6.0,17.0,22.0,20.0,14.0,1.69230769231,1.0,1.88888888889,2.2,1.42857142857,1.4,13.0,6.0,9.0,10.0,14.0,10.0,6.0,101.0,49.0,52.0,1.0,12.0,49.0,62.0,10.0,1.62903225806,4.08333333333,1.0612244898,2.65374609781,4.32303799805,1.27633548022,1.96,2.744,1.18321595662,2.04081632653,2.91545189504,1.19522860933,4.84,10.648,1.48323969742,3.56790123457,6.73936899863,1.37436854187,1.0,1.0,1.0,2.86390532544,4.84660901229,1.12619741774,1.19514828005,1.0,1.0,1.0,1.0,1.0,1.0,36.0,216.0,2.44948974278,0.0,0.0,0.0,81.0,729.0,3.0,100.0,1000.0,3.16227766017,3844.0,238328.0,7.87400787401,196.0,2744.0,3.74165738677,100.0,1000.0,3.16227766017,9,19,2,40
2016-09-19 00:20:00,0.0,2.0,3.0,3.0,1.0,3.0,0.0,7.0,15.0,10.0,5.0,12.0,0.0,3.5,5.0,3.33333333333,5.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,7.0,10.0,9.0,4.0,6.0,10.0,7.0,10.0,9.0,7.0,1.0,1.42857142857,1.0,1.0,1.0,1.75,6.0,17.0,22.0,20.0,14.0,19.0,1.0,1.88888888889,2.2,1.42857142857,1.4,2.71428571429,6.0,9.0,10.0,14.0,10.0,7.0,9.0,98.0,49.0,49.0,1.0,12.0,43.0,56.0,7.0,1.75,4.08333333333,1.13953488372,3.0625,5.359375,1.32287565553,7.36734693878,19.9970845481,1.6475089421,1.96,2.744,1.18321595662,2.04081632653,2.91545189504,1.19522860933,4.84,10.648,1.48323969742,3.56790123457,6.73936899863,1.37436854187,1.0,1.0,1.29853975122,1.47973134441,1.0,1.0,1.0,0.0,0.0,0.0,81.0,729.0,3.0,0.0,0.0,0.0,100.0,1000.0,3.16227766017,196.0,2744.0,3.74165738677,3136.0,175616.0,7.48331477355,100.0,1000.0,3.16227766017,49.0,343.0,2.64575131106,9,19,3,0
2016-09-19 00:40:00,2.0,3.0,3.0,1.0,3.0,7.0,7.0,15.0,10.0,5.0,12.0,20.0,3.5,5.0,3.33333333333,5.0,4.0,2.85714285714,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,10.0,9.0,4.0,3.0,10.0,7.0,10.0,9.0,7.0,3.0,1.42857142857,1.0,1.0,1.0,1.75,1.0,17.0,22.0,20.0,14.0,19.0,23.0,1.88888888889,2.2,1.42857142857,1.4,2.71428571429,2.3,9.0,10.0,14.0,10.0,7.0,10.0,4.0,115.0,69.0,46.0,1.0,19.0,40.0,60.0,7.0,1.91666666667,3.63157894737,1.15,3.67361111111,7.04108796296,1.38443731049,5.29,12.167,1.51657508881,7.36734693878,19.9970845481,1.6475089421,1.96,2.744,1.18321595662,2.04081632653,2.91545189504,1.19522860933,4.84,10.648,1.48323969742,3.56790123457,6.73936899863,1.3225,1.520875,1.0,1.0,1.0,0.0,0.0,0.0,100.0,1000.0,3.16227766017,0.0,0.0,0.0,196.0,2744.0,3.74165738677,100.0,1000.0,3.16227766017,3600.0,216000.0,7.74596669241,49.0,343.0,2.64575131106,100.0,1000.0,3.16227766017,9,19,3,20
2016-09-19 01:00:00,3.0,3.0,1.0,3.0,7.0,5.0,15.0,10.0,5.0,12.0,20.0,16.0,5.0,3.33333333333,5.0,4.0,2.85714285714,3.2,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,10.0,9.0,4.0,3.0,1.0,7.0,10.0,9.0,7.0,3.0,4.0,1.0,1.0,1.0,1.75,1.0,4.0,22.0,20.0,14.0,19.0,23.0,20.0,2.2,1.42857142857,1.4,2.71428571429,2.3,3.33333333333,10.0,14.0,10.0,7.0,10.0,6.0,9.0,118.0,78.0,40.0,1.0,22.0,34.0,57.0,6.0,2.0701754386,3.54545454545,1.17647058824,4.28562634657,8.87199840167,1.43881042483,11.1111111111,37.037037037,1.82574185835,5.29,12.167,1.51657508881,7.36734693878,19.9970845481,1.6475089421,1.96,2.744,1.18321595662,2.04081632653,2.91545189504,1.19522860933,4.84,10.648,1.38408304498,1.6283329941,1.0,1.0,1.0,0.0,0.0,0.0,196.0,2744.0,3.74165738677,0.0,0.0,0.0,100.0,1000.0,3.16227766017,49.0,343.0,2.64575131106,3249.0,185193.0,7.54983443527,100.0,1000.0,3.16227766017,36.0,216.0,2.44948974278,9,19,3,40
2016-09-19 01:20:00,3.0,1.0,3.0,7.0,5.0,4.0,10.0,5.0,12.0,20.0,16.0,14.0,3.33333333333,5.0,4.0,2.85714285714,3.2,3.5,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,3.0,4.0,5.0,1.0,1.0,1.75,1.0,4.0,1.0,20.0,14.0,19.0,23.0,20.0,19.0,1.42857142857,1.4,2.71428571429,2.3,3.33333333333,2.11111111111,14.0,10.0,7.0,10.0,6.0,9.0,10.0,115.0,77.0,38.0,1.0,23.0,32.0,56.0,5.0,2.05357142857,3.34782608696,1.1875,4.21715561224,8.66023027515,1.43302876055,4.45679012346,9.40877914952,1.45296631451,11.1111111111,37.037037037,1.82574185835,5.29,12.167,1.51657508881,7.36734693878,19.9970845481,1.6475089421,1.96,2.744,1.18321595662,2.04081632653,2.91545189504,1.41015625,1.67456054688,1.0,1.0,1.0,0.0,0.0,0.0,100.0,1000.0,3.16227766017,0.0,0.0,0.0,49.0,343.0,2.64575131106,100.0,1000.0,3.16227766017,3136.0,175616.0,7.48331477355,36.0,216.0,2.44948974278,81.0,729.0,3.0,9,19,4,0
2016-09-19 01:40:00,1.0,3.0,7.0,5.0,4.0,1.0,5.0,12.0,20.0,16.0,14.0,3.0,5.0,4.0,2.85714285714,3.2,3.5,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,1.0,5.0,3.0,9.0,7.0,3.0,4.0,5.0,3.0,1.0,1.75,1.0,4.0,1.0,1.0,14.0,19.0,23.0,20.0,19.0,6.0,1.4,2.71428571429,2.3,3.33333333333,2.11111111111,1.5,10.0,7.0,10.0,6.0,9.0,4.0,13.0,101.0,70.0,31.0,0.0,21.0,25.0,46.0,3.0,2.19565217391,3.33333333333,1.24,4.82088846881,10.5849942467,1.48177332069,2.25,3.375,1.22474487139,4.45679012346,9.40877914952,1.45296631451,11.1111111111,37.037037037,1.82574185835,5.29,12.167,1.51657508881,7.36734693878,19.9970845481,1.6475089421,1.96,2.744,1.5376,1.906624,0.0,0.0,0.0,0.0,0.0,0.0,49.0,343.0,2.64575131106,0.0,0.0,0.0,100.0,1000.0,3.16227766017,36.0,216.0,2.44948974278,2116.0,97336.0,6.78232998313,81.0,729.0,3.0,16.0,64.0,2.0,9,19,4,20
2016-09-19 02:00:00,3.0,7.0,5.0,4.0,1.0,4.0,12.0,20.0,16.0,14.0,3.0,13.0,4.0,2.85714285714,3.2,3.5,3.0,3.25,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,5.0,3.0,5.0,7.0,3.0,4.0,5.0,3.0,5.0,1.75,1.0,4.0,1.0,1.0,1.0,19.0,23.0,20.0,19.0,6.0,18.0,2.71428571429,2.3,3.33333333333,2.11111111111,1.5,2.0,7.0,10.0,6.0,9.0,4.0,9.0,12.0,105.0,78.0,27.0,0.0,24.0,21.0,45.0,5.0,2.33333333333,3.25,1.28571428571,5.44444444444,12.7037037037,1.52752523165,4.0,8.0,1.41421356237,2.25,3.375,1.22474487139,4.45679012346,9.40877914952,1.45296631451,11.1111111111,37.037037037,1.82574185835,5.29,12.167,1.51657508881,7.36734693878,19.9970845481,1.65306122449,2.12536443149,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000.0,3.16227766017,0.0,0.0,0.0,36.0,216.0,2.44948974278,81.0,729.0,3.0,2025.0,91125.0,6.7082039325,16.0,64.0,2.0,81.0,729.0,3.0,9,19,4,40
2016-09-19 02:20:00,7.0,5.0,4.0,1.0,4.0,4.0,20.0,16.0,14.0,3.0,13.0,12.0,2.85714285714,3.2,3.5,3.0,3.25,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,3.0,5.0,6.0,3.0,4.0,5.0,3.0,5.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,23.0,20.0,19.0,6.0,18.0,18.0,2.3,3.33333333333,2.11111111111,1.5,2.0,1.8,10.0,6.0,9.0,4.0,9.0,10.0,2.0,104.0,78.0,26.0,0.0,25.0,23.0,48.0,4.0,2.16666666667,3.12,1.13043478261,4.69444444444,10.1712962963,1.47196014439,3.24,5.832,1.3416407865,4.0,8.0,1.41421356237,2.25,3.375,1.22474487139,4.45679012346,9.40877914952,1.45296631451,11.1111111111,37.037037037,1.82574185835,5.29,12.167,1.27788279773,1.44456316265,0.0,0.0,0.0,0.0,0.0,0.0,36.0,216.0,2.44948974278,0.0,0.0,0.0,81.0,729.0,3.0,16.0,64.0,2.0,2304.0,110592.0,6.92820323028,81.0,729.0,3.0,100.0,1000.0,3.16227766017,9,19,5,0
2016-09-19 02:40:00,5.0,4.0,1.0,4.0,4.0,4.0,16.0,14.0,3.0,13.0,12.0,12.0,3.2,3.5,3.0,3.25,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,5.0,6.0,9.0,4.0,5.0,3.0,5.0,6.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,20.0,19.0,6.0,18.0,18.0,21.0,3.33333333333,2.11111111111,1.5,2.0,1.8,1.61538461538,6.0,9.0,4.0,9.0,10.0,13.0,8.0,102.0,70.0,32.0,0.0,22.0,29.0,51.0,3.0,2.0,3.18181818182,1.10344827586,4.0,8.0,1.41421356237,2.60946745562,4.21529358216,1.2709778186,3.24,5.832,1.3416407865,4.0,8.0,1.41421356237,2.25,3.375,1.22474487139,4.45679012346,9.40877914952,1.45296631451,11.1111111111,37.037037037,1.2175980975,1.34355652138,0.0,0.0,0.0,0.0,0.0,0.0,81.0,729.0,3.0,0.0,0.0,0.0,16.0,64.0,2.0,81.0,729.0,3.0,2601.0,132651.0,7.14142842854,100.0,1000.0,3.16227766017,169.0,2197.0,3.60555127546,9,19,5,20
2016-09-19 03:00:00,4.0,1.0,4.0,4.0,4.0,4.0,14.0,3.0,13.0,12.0,12.0,12.0,3.5,3.0,3.25,3.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,6.0,9.0,8.0,5.0,3.0,5.0,6.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,6.0,18.0,18.0,21.0,20.0,2.11111111111,1.5,2.0,1.8,1.61538461538,1.66666666667,9.0,4.0,9.0,10.0,13.0,12.0,13.0,102.0,66.0,36.0,0.0,21.0,36.0,57.0,3.0,1.78947368421,3.14285714286,1.0,3.20221606648,5.73028138213,1.33771210812,2.77777777778,4.62962962963,1.29099444874,2.60946745562,4.21529358216,1.2709778186,3.24,5.832,1.3416407865,4.0,8.0,1.41421356237,2.25,3.375,1.22474487139,4.45679012346,9.40877914952,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,64.0,2.0,0.0,0.0,0.0,81.0,729.0,3.0,100.0,1000.0,3.16227766017,3249.0,185193.0,7.54983443527,169.0,2197.0,3.60555127546,144.0,1728.0,3.46410161514,9,19,5,40
