,cargo_count0,cargo_count1,cargo_count2,cargo_count3,cargo_count4,cargo_count5,cargo_model0,cargo_model1,cargo_model2,cargo_model3,cargo_model4,cargo_model5,cargo_model_avg0,cargo_model_avg1,cargo_model_avg2,cargo_model_avg3,cargo_model_avg4,cargo_model_avg5,etc_count0,etc_count1,etc_count2,etc_count3,etc_count4,etc_count5,no_count0,no_count1,no_count2,no_count3,no_count4,no_count5,passenger_count0,passenger_count1,passenger_count2,passenger_count3,passenger_count4,passenger_count5,passenger_model0,passenger_model1,passenger_model2,passenger_model3,passenger_model4,passenger_model5,passenger_model_avg0,passenger_model_avg1,passenger_model_avg2,passenger_model_avg3,passenger_model_avg4,passenger_model_avg5,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model_avg0,vehicle_model_avg1,vehicle_model_avg2,vehicle_model_avg3,vehicle_model_avg4,vehicle_model_avg5,volume0,volume1,volume2,volume3,volume4,volume5,y,vehicle_all_model,cargo_all_model,passenger_all_model,no_all_count,cargo_all_count,passenger_all_count,volume_all,etc_all_count,vehicle_all_model_avg,cargo_all_model_avg,passenger_all_model_avg,vehicle_all_model_avg_S2,vehicle_all_model_avg_S3,vehicle_all_model_avg_sqrt,vehicle_model_avg5_S2,vehicle_model_avg5_S3,vehicle_model_avg5_sqrt,vehicle_model_avg4_S2,vehicle_model_avg4_S3,vehicle_model_avg4_sqrt,vehicle_model_avg3_S2,vehicle_model_avg3_S3,vehicle_model_avg3_sqrt,vehicle_model_avg2_S2,vehicle_model_avg2_S3,vehicle_model_avg2_sqrt,vehicle_model_avg1_S2,vehicle_model_avg1_S3,vehicle_model_avg1_sqrt,vehicle_model_avg0_S2,vehicle_model_avg0_S3,passenger_all_model_avg_S2,passenger_all_model_avg_S3,no_all_count_S2,no_all_count_S3,no_all_count_sqrt,no_count4_S2,no_count4_S3,no_count4_sqrt,volume1_S2,volume1_S3,volume1_sqrt,no_count5_S2,no_count5_S3,no_count5_sqrt,volume2_S2,volume2_S3,volume2_sqrt,volume3_S2,volume3_S3,volume3_sqrt,volume_all_S2,volume_all_S3,volume_all_sqrt,volume4_S2,volume4_S3,volume4_sqrt,volume5_S2,volume5_S3,volume5_sqrt,is_eight,is_nine,is_eighteen,is_seventeen,minute,week,weekend
2016-09-19 00:00:00,6.0,2.0,3.0,1.0,3.0,4.0,28.0,5.0,7.0,5.0,13.0,15.0,4.66666666667,2.5,2.33333333333,5.0,4.33333333333,3.75,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,13.0,16.0,14.0,7.0,11.0,14.0,13.0,16.0,14.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,39.0,19.0,20.0,21.0,27.0,22.0,2.29411764706,1.1875,1.25,1.23529411765,1.58823529412,2.0,17.0,16.0,16.0,17.0,17.0,11.0,10.0,148.0,73.0,75.0,0.0,19.0,75.0,94.0,5.0,1.57446808511,3.84210526316,1.0,2.47894975102,3.90302726756,1.25477810194,4.0,8.0,1.41421356237,2.52249134948,4.00630979035,1.26025207563,1.52595155709,1.88499898229,1.11143786045,1.5625,1.953125,1.11803398875,1.41015625,1.67456054688,1.08972473589,5.26297577855,12.0738856096,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,4096.0,4.0,0.0,0.0,0.0,256.0,4096.0,4.0,289.0,4913.0,4.12310562562,8836.0,830584.0,9.69535971483,289.0,4913.0,4.12310562562,121.0,1331.0,3.31662479036,0,0,0,0,0M,0W,1
2016-09-19 00:20:00,2.0,3.0,1.0,3.0,4.0,1.0,5.0,7.0,5.0,13.0,15.0,2.0,2.5,2.33333333333,5.0,4.33333333333,3.75,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,16.0,14.0,7.0,10.0,14.0,13.0,16.0,14.0,7.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,20.0,21.0,27.0,22.0,12.0,1.1875,1.25,1.23529411765,1.58823529412,2.0,1.09090909091,16.0,16.0,17.0,17.0,11.0,11.0,10.0,121.0,47.0,74.0,0.0,14.0,74.0,88.0,5.0,1.375,3.35714285714,1.0,1.890625,2.599609375,1.17260393996,1.19008264463,1.29827197596,1.04446593573,4.0,8.0,1.41421356237,2.52249134948,4.00630979035,1.26025207563,1.52595155709,1.88499898229,1.11143786045,1.5625,1.953125,1.11803398875,1.41015625,1.67456054688,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,4096.0,4.0,0.0,0.0,0.0,289.0,4913.0,4.12310562562,289.0,4913.0,4.12310562562,7744.0,681472.0,9.38083151965,121.0,1331.0,3.31662479036,121.0,1331.0,3.31662479036,0,0,0,0,20M,0W,1
2016-09-19 00:40:00,3.0,1.0,3.0,4.0,1.0,3.0,7.0,5.0,13.0,15.0,2.0,8.0,2.33333333333,5.0,4.33333333333,3.75,2.0,2.66666666667,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,14.0,7.0,10.0,11.0,13.0,16.0,14.0,7.0,10.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,21.0,27.0,22.0,12.0,19.0,1.25,1.23529411765,1.58823529412,2.0,1.09090909091,1.35714285714,16.0,17.0,17.0,11.0,11.0,14.0,9.0,121.0,50.0,71.0,0.0,15.0,71.0,86.0,4.0,1.40697674419,3.33333333333,1.0,1.97958355868,2.78522803024,1.18616050524,1.84183673469,2.49963556851,1.16496474502,1.19008264463,1.29827197596,1.04446593573,4.0,8.0,1.41421356237,2.52249134948,4.00630979035,1.26025207563,1.52595155709,1.88499898229,1.11143786045,1.5625,1.953125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,4913.0,4.12310562562,0.0,0.0,0.0,289.0,4913.0,4.12310562562,121.0,1331.0,3.31662479036,7396.0,636056.0,9.2736184955,121.0,1331.0,3.31662479036,196.0,2744.0,3.74165738677,0,0,0,0,40M,0W,1
2016-09-19 01:00:00,1.0,3.0,4.0,1.0,3.0,4.0,5.0,13.0,15.0,2.0,8.0,8.0,5.0,4.33333333333,3.75,2.0,2.66666666667,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,7.0,10.0,11.0,14.0,16.0,14.0,7.0,10.0,11.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,27.0,22.0,12.0,19.0,22.0,1.23529411765,1.58823529412,2.0,1.09090909091,1.35714285714,1.22222222222,17.0,17.0,11.0,11.0,14.0,18.0,11.0,123.0,51.0,72.0,0.0,16.0,72.0,88.0,5.0,1.39772727273,3.1875,1.0,1.95364152893,2.73065804611,1.18225516397,1.49382716049,1.82578875171,1.10554159679,1.84183673469,2.49963556851,1.16496474502,1.19008264463,1.29827197596,1.04446593573,4.0,8.0,1.41421356237,2.52249134948,4.00630979035,1.26025207563,1.52595155709,1.88499898229,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,4913.0,4.12310562562,0.0,0.0,0.0,121.0,1331.0,3.31662479036,121.0,1331.0,3.31662479036,7744.0,681472.0,9.38083151965,196.0,2744.0,3.74165738677,324.0,5832.0,4.24264068712,0,0,0,0,0M,0W,1
2016-09-19 01:20:00,3.0,4.0,1.0,3.0,4.0,2.0,13.0,15.0,2.0,8.0,8.0,5.0,4.33333333333,3.75,2.0,2.66666666667,2.0,2.5,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,10.0,11.0,14.0,8.0,14.0,7.0,10.0,11.0,14.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,22.0,12.0,19.0,22.0,13.0,1.58823529412,2.0,1.09090909091,1.35714285714,1.22222222222,1.3,17.0,11.0,11.0,14.0,18.0,10.0,8.0,115.0,51.0,64.0,0.0,17.0,64.0,81.0,4.0,1.41975308642,3.0,1.0,2.0156988264,2.86179463007,1.19153392164,1.69,2.197,1.1401754251,1.49382716049,1.82578875171,1.10554159679,1.84183673469,2.49963556851,1.16496474502,1.19008264463,1.29827197596,1.04446593573,4.0,8.0,1.41421356237,2.52249134948,4.00630979035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,1331.0,3.31662479036,0.0,0.0,0.0,121.0,1331.0,3.31662479036,196.0,2744.0,3.74165738677,6561.0,531441.0,9.0,324.0,5832.0,4.24264068712,100.0,1000.0,3.16227766017,0,0,0,0,20M,0W,1
2016-09-19 01:40:00,4.0,1.0,3.0,4.0,2.0,1.0,15.0,2.0,8.0,8.0,5.0,2.0,3.75,2.0,2.66666666667,2.0,2.5,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,11.0,14.0,8.0,9.0,7.0,10.0,11.0,14.0,8.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,12.0,19.0,22.0,13.0,11.0,2.0,1.09090909091,1.35714285714,1.22222222222,1.3,1.1,11.0,11.0,14.0,18.0,10.0,10.0,10.0,99.0,40.0,59.0,0.0,15.0,59.0,74.0,2.0,1.33783783784,2.66666666667,1.0,1.78981008035,2.39447564804,1.15664940143,1.21,1.331,1.04880884817,1.69,2.197,1.1401754251,1.49382716049,1.82578875171,1.10554159679,1.84183673469,2.49963556851,1.16496474502,1.19008264463,1.29827197596,1.04446593573,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,1331.0,3.31662479036,0.0,0.0,0.0,196.0,2744.0,3.74165738677,324.0,5832.0,4.24264068712,5476.0,405224.0,8.60232526704,100.0,1000.0,3.16227766017,100.0,1000.0,3.16227766017,0,0,0,0,40M,0W,1
2016-09-19 02:00:00,1.0,3.0,4.0,2.0,1.0,1.0,2.0,8.0,8.0,5.0,2.0,5.0,2.0,2.66666666667,2.0,2.5,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,14.0,8.0,9.0,8.0,10.0,11.0,14.0,8.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,19.0,22.0,13.0,11.0,13.0,1.09090909091,1.35714285714,1.22222222222,1.3,1.1,1.44444444444,11.0,14.0,18.0,10.0,10.0,9.0,9.0,90.0,30.0,60.0,0.0,12.0,60.0,72.0,2.0,1.25,2.5,1.0,1.5625,1.953125,1.11803398875,2.08641975309,3.01371742112,1.20185042515,1.21,1.331,1.04880884817,1.69,2.197,1.1401754251,1.49382716049,1.82578875171,1.10554159679,1.84183673469,2.49963556851,1.16496474502,1.19008264463,1.29827197596,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,2744.0,3.74165738677,0.0,0.0,0.0,324.0,5832.0,4.24264068712,100.0,1000.0,3.16227766017,5184.0,373248.0,8.48528137424,100.0,1000.0,3.16227766017,81.0,729.0,3.0,0,0,0,0,0M,0W,1
2016-09-19 02:20:00,3.0,4.0,2.0,1.0,1.0,2.0,8.0,8.0,5.0,2.0,5.0,6.0,2.66666666667,2.0,2.5,2.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,8.0,9.0,8.0,9.0,11.0,14.0,8.0,9.0,8.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,22.0,13.0,11.0,13.0,15.0,1.35714285714,1.22222222222,1.3,1.1,1.44444444444,1.36363636364,14.0,18.0,10.0,10.0,9.0,11.0,14.0,93.0,34.0,59.0,0.0,13.0,59.0,72.0,3.0,1.29166666667,2.61538461538,1.0,1.66840277778,2.15502025463,1.13651514142,1.85950413223,2.53568745304,1.16774841624,2.08641975309,3.01371742112,1.20185042515,1.21,1.331,1.04880884817,1.69,2.197,1.1401754251,1.49382716049,1.82578875171,1.10554159679,1.84183673469,2.49963556851,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,5832.0,4.24264068712,0.0,0.0,0.0,100.0,1000.0,3.16227766017,100.0,1000.0,3.16227766017,5184.0,373248.0,8.48528137424,81.0,729.0,3.0,121.0,1331.0,3.31662479036,0,0,0,0,20M,0W,1
2016-09-19 02:40:00,4.0,2.0,1.0,1.0,2.0,3.0,8.0,5.0,2.0,5.0,6.0,8.0,2.0,2.5,2.0,5.0,3.0,2.66666666667,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,9.0,8.0,9.0,5.0,14.0,8.0,9.0,8.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,13.0,11.0,13.0,15.0,13.0,1.22222222222,1.3,1.1,1.44444444444,1.36363636364,1.625,18.0,10.0,10.0,9.0,11.0,8.0,27.0,87.0,34.0,53.0,0.0,13.0,53.0,66.0,3.0,1.31818181818,2.61538461538,1.0,1.73760330579,2.2904770849,1.14812099457,2.640625,4.291015625,1.2747548784,1.85950413223,2.53568745304,1.16774841624,2.08641975309,3.01371742112,1.20185042515,1.21,1.331,1.04880884817,1.69,2.197,1.1401754251,1.49382716049,1.82578875171,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000.0,3.16227766017,0.0,0.0,0.0,100.0,1000.0,3.16227766017,81.0,729.0,3.0,4356.0,287496.0,8.12403840464,121.0,1331.0,3.31662479036,64.0,512.0,2.82842712475,0,0,0,0,40M,0W,1
2016-09-19 03:00:00,2.0,1.0,1.0,2.0,3.0,1.0,5.0,2.0,5.0,6.0,8.0,5.0,2.5,2.0,5.0,3.0,2.66666666667,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,8.0,9.0,5.0,9.0,8.0,9.0,8.0,9.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,11.0,13.0,15.0,13.0,14.0,1.3,1.1,1.44444444444,1.36363636364,1.625,1.4,10.0,10.0,9.0,11.0,8.0,10.0,39.0,79.0,31.0,48.0,0.0,10.0,48.0,58.0,2.0,1.36206896552,3.1,1.0,1.85523186683,2.52695374964,1.1670771035,1.96,2.744,1.18321595662,2.640625,4.291015625,1.2747548784,1.85950413223,2.53568745304,1.16774841624,2.08641975309,3.01371742112,1.20185042515,1.21,1.331,1.04880884817,1.69,2.197,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000.0,3.16227766017,0.0,0.0,0.0,81.0,729.0,3.0,121.0,1331.0,3.31662479036,3364.0,195112.0,7.61577310586,64.0,512.0,2.82842712475,100.0,1000.0,3.16227766017,0,0,0,0,0M,0W,1
