,cargo_count0,cargo_count1,cargo_count2,cargo_count3,cargo_count4,cargo_count5,cargo_model0,cargo_model1,cargo_model2,cargo_model3,cargo_model4,cargo_model5,cargo_model_avg0,cargo_model_avg1,cargo_model_avg2,cargo_model_avg3,cargo_model_avg4,cargo_model_avg5,etc_count0,etc_count1,etc_count2,etc_count3,etc_count4,etc_count5,no_count0,no_count1,no_count2,no_count3,no_count4,no_count5,passenger_count0,passenger_count1,passenger_count2,passenger_count3,passenger_count4,passenger_count5,passenger_model0,passenger_model1,passenger_model2,passenger_model3,passenger_model4,passenger_model5,passenger_model_avg0,passenger_model_avg1,passenger_model_avg2,passenger_model_avg3,passenger_model_avg4,passenger_model_avg5,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model_avg0,vehicle_model_avg1,vehicle_model_avg2,vehicle_model_avg3,vehicle_model_avg4,vehicle_model_avg5,volume0,volume1,volume2,volume3,volume4,volume5,y,vehicle_all_model,cargo_all_model,passenger_all_model,no_all_count,cargo_all_count,passenger_all_count,volume_all,etc_all_count,vehicle_all_model_avg,cargo_all_model_avg,passenger_all_model_avg,month,day,hour,minute
2016-09-19 00:00:00,31.0,16.0,11.0,2.0,6.0,3.0,63.0,39.0,21.0,3.0,17.0,6.0,2.03225806452,2.4375,1.90909090909,1.5,2.83333333333,2.0,33.0,10.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,40.0,20.0,2.0,8.0,4.0,118.0,58.0,25.0,2.0,8.0,4.0,1.08256880734,1.45,1.25,1.0,1.0,1.0,181.0,97.0,46.0,5.0,25.0,10.0,1.29285714286,1.73214285714,1.48387096774,1.25,1.78571428571,1.42857142857,140.0,56.0,31.0,4.0,14.0,7.0,20.0,364.0,149.0,215.0,0.0,69.0,183.0,252.0,52.0,1.44444444444,2.15942028986,2.15942028986,9,19,3,40
2016-09-19 00:20:00,16.0,11.0,2.0,6.0,3.0,5.0,39.0,21.0,3.0,17.0,6.0,14.0,2.4375,1.90909090909,1.5,2.83333333333,2.0,2.8,10.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,2.0,8.0,4.0,2.0,58.0,25.0,2.0,8.0,4.0,2.0,1.45,1.25,1.0,1.0,1.0,1.0,97.0,46.0,5.0,25.0,10.0,16.0,1.73214285714,1.48387096774,1.25,1.78571428571,1.42857142857,2.28571428571,56.0,31.0,4.0,14.0,7.0,7.0,18.0,199.0,100.0,99.0,0.0,43.0,76.0,119.0,20.0,1.67226890756,2.32558139535,2.32558139535,9,19,4,0
2016-09-19 00:40:00,11.0,2.0,6.0,3.0,5.0,5.0,21.0,3.0,17.0,6.0,14.0,13.0,1.90909090909,1.5,2.83333333333,2.0,2.8,2.6,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,8.0,4.0,2.0,2.0,25.0,2.0,8.0,4.0,2.0,2.0,1.25,1.0,1.0,1.0,1.0,1.0,46.0,5.0,25.0,10.0,16.0,15.0,1.48387096774,1.25,1.78571428571,1.42857142857,2.28571428571,2.14285714286,31.0,4.0,14.0,7.0,7.0,7.0,17.0,117.0,74.0,43.0,0.0,32.0,38.0,70.0,10.0,1.67142857143,2.3125,2.3125,9,19,4,20
2016-09-19 01:00:00,2.0,6.0,3.0,5.0,5.0,4.0,3.0,17.0,6.0,14.0,13.0,9.0,1.5,2.83333333333,2.0,2.8,2.6,2.25,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,2.0,2.0,6.0,2.0,8.0,4.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,25.0,10.0,16.0,15.0,15.0,1.25,1.78571428571,1.42857142857,2.28571428571,2.14285714286,1.5,4.0,14.0,7.0,7.0,7.0,10.0,23.0,86.0,62.0,24.0,0.0,25.0,24.0,49.0,5.0,1.75510204082,2.48,2.48,9,19,4,40
2016-09-19 01:20:00,6.0,3.0,5.0,5.0,4.0,6.0,17.0,6.0,14.0,13.0,9.0,10.0,2.83333333333,2.0,2.8,2.6,2.25,1.66666666667,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,2.0,6.0,4.0,8.0,4.0,2.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,10.0,16.0,15.0,15.0,14.0,1.78571428571,1.42857142857,2.28571428571,2.14285714286,1.5,1.4,14.0,7.0,7.0,7.0,10.0,10.0,28.0,95.0,69.0,26.0,0.0,29.0,26.0,55.0,4.0,1.72727272727,2.37931034483,2.37931034483,9,19,5,0
2016-09-19 01:40:00,3.0,5.0,5.0,4.0,6.0,13.0,6.0,14.0,13.0,9.0,10.0,28.0,2.0,2.8,2.6,2.25,1.66666666667,2.15384615385,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,6.0,4.0,1.0,4.0,2.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,16.0,15.0,15.0,14.0,29.0,1.42857142857,2.28571428571,2.14285714286,1.5,1.4,2.07142857143,7.0,7.0,7.0,10.0,10.0,14.0,24.0,99.0,80.0,19.0,0.0,36.0,19.0,55.0,2.0,1.8,2.22222222222,2.22222222222,9,19,5,20
2016-09-19 02:00:00,5.0,5.0,4.0,6.0,13.0,13.0,14.0,13.0,9.0,10.0,28.0,23.0,2.8,2.6,2.25,1.66666666667,2.15384615385,1.76923076923,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,4.0,1.0,7.0,2.0,2.0,6.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,15.0,15.0,14.0,29.0,30.0,2.28571428571,2.14285714286,1.5,1.4,2.07142857143,1.5,7.0,7.0,10.0,10.0,14.0,20.0,34.0,119.0,97.0,22.0,0.0,46.0,22.0,68.0,3.0,1.75,2.10869565217,2.10869565217,9,19,5,40
2016-09-19 02:20:00,5.0,4.0,6.0,13.0,13.0,10.0,13.0,9.0,10.0,28.0,23.0,10.0,2.6,2.25,1.66666666667,2.15384615385,1.76923076923,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,1.0,7.0,8.0,2.0,6.0,4.0,1.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,14.0,29.0,30.0,18.0,2.14285714286,1.5,1.4,2.07142857143,1.5,1.0,7.0,10.0,10.0,14.0,20.0,18.0,39.0,121.0,93.0,28.0,0.0,51.0,28.0,79.0,2.0,1.53164556962,1.82352941176,1.82352941176,9,19,6,0
2016-09-19 02:40:00,4.0,6.0,13.0,13.0,10.0,10.0,9.0,10.0,28.0,23.0,10.0,22.0,2.25,1.66666666667,2.15384615385,1.76923076923,1.0,2.2,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,7.0,8.0,7.0,6.0,4.0,1.0,7.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,14.0,29.0,30.0,18.0,29.0,1.5,1.4,2.07142857143,1.5,1.0,1.70588235294,10.0,10.0,14.0,20.0,18.0,17.0,57.0,135.0,102.0,33.0,0.0,56.0,33.0,89.0,4.0,1.51685393258,1.82142857143,1.82142857143,9,19,6,20
2016-09-19 03:00:00,6.0,13.0,13.0,10.0,10.0,15.0,10.0,28.0,23.0,10.0,22.0,26.0,1.66666666667,2.15384615385,1.76923076923,1.0,2.2,1.73333333333,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,8.0,7.0,8.0,4.0,1.0,7.0,8.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,29.0,30.0,18.0,29.0,34.0,1.4,2.07142857143,1.5,1.0,1.70588235294,1.47826086957,10.0,14.0,20.0,18.0,17.0,23.0,72.0,154.0,119.0,35.0,0.0,67.0,35.0,102.0,4.0,1.50980392157,1.77611940299,1.77611940299,9,19,6,40
