,cargo_count0,cargo_count1,cargo_count2,cargo_count3,cargo_count4,cargo_count5,cargo_model0,cargo_model1,cargo_model2,cargo_model3,cargo_model4,cargo_model5,cargo_model_avg0,cargo_model_avg1,cargo_model_avg2,cargo_model_avg3,cargo_model_avg4,cargo_model_avg5,etc_count0,etc_count1,etc_count2,etc_count3,etc_count4,etc_count5,no_count0,no_count1,no_count2,no_count3,no_count4,no_count5,passenger_count0,passenger_count1,passenger_count2,passenger_count3,passenger_count4,passenger_count5,passenger_model0,passenger_model1,passenger_model2,passenger_model3,passenger_model4,passenger_model5,passenger_model_avg0,passenger_model_avg1,passenger_model_avg2,passenger_model_avg3,passenger_model_avg4,passenger_model_avg5,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model_avg0,vehicle_model_avg1,vehicle_model_avg2,vehicle_model_avg3,vehicle_model_avg4,vehicle_model_avg5,volume0,volume1,volume2,volume3,volume4,volume5,y,vehicle_all_model,cargo_all_model,passenger_all_model,no_all_count,cargo_all_count,passenger_all_count,volume_all,etc_all_count,vehicle_all_model_avg,cargo_all_model_avg,passenger_all_model_avg,vehicle_all_model_avg_S2,vehicle_all_model_avg_S3,vehicle_all_model_avg_sqrt,vehicle_model_avg5_S2,vehicle_model_avg5_S3,vehicle_model_avg5_sqrt,vehicle_model_avg4_S2,vehicle_model_avg4_S3,vehicle_model_avg4_sqrt,vehicle_model_avg3_S2,vehicle_model_avg3_S3,vehicle_model_avg3_sqrt,vehicle_model_avg2_S2,vehicle_model_avg2_S3,vehicle_model_avg2_sqrt,vehicle_model_avg1_S2,vehicle_model_avg1_S3,vehicle_model_avg1_sqrt,vehicle_model_avg0_S2,vehicle_model_avg0_S3,passenger_all_model_avg_S2,passenger_all_model_avg_S3,no_all_count_S2,no_all_count_S3,no_all_count_sqrt,no_count4_S2,no_count4_S3,no_count4_sqrt,volume1_S2,volume1_S3,volume1_sqrt,no_count5_S2,no_count5_S3,no_count5_sqrt,volume2_S2,volume2_S3,volume2_sqrt,volume3_S2,volume3_S3,volume3_sqrt,volume_all_S2,volume_all_S3,volume_all_sqrt,volume4_S2,volume4_S3,volume4_sqrt,volume5_S2,volume5_S3,volume5_sqrt,is_eight,is_nine,is_eighteen,is_seventeen,minute,week,weekend
2016-09-19 00:00:00,31.0,16.0,11.0,2.0,6.0,3.0,63.0,39.0,21.0,3.0,17.0,6.0,2.03225806452,2.4375,1.90909090909,1.5,2.83333333333,2.0,33.0,10.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,40.0,20.0,2.0,8.0,4.0,118.0,58.0,25.0,2.0,8.0,4.0,1.08256880734,1.45,1.25,1.0,1.0,1.0,181.0,97.0,46.0,5.0,25.0,10.0,1.29285714286,1.73214285714,1.48387096774,1.25,1.78571428571,1.42857142857,140.0,56.0,31.0,4.0,14.0,7.0,7.0,364.0,149.0,215.0,0.0,69.0,183.0,252.0,52.0,1.44444444444,2.15942028986,1.17486338798,2.08641975309,3.01371742112,1.20185042515,2.04081632653,2.91545189504,1.19522860933,3.1887755102,5.69424198251,1.33630620956,1.5625,1.953125,1.11803398875,2.20187304891,3.26729549193,1.21814242506,3.00031887755,5.1969809129,1.31610898376,1.67147959184,2.16098432945,1.38030398041,1.62166861087,0.0,0.0,0.0,0.0,0.0,0.0,3136.0,175616.0,7.48331477355,0.0,0.0,0.0,961.0,29791.0,5.56776436283,16.0,64.0,2.0,63504.0,16003008.0,15.8745078664,196.0,2744.0,3.74165738677,49.0,343.0,2.64575131106,0,0,0,0,20M,0W,1
2016-09-19 00:20:00,16.0,11.0,2.0,6.0,3.0,5.0,39.0,21.0,3.0,17.0,6.0,14.0,2.4375,1.90909090909,1.5,2.83333333333,2.0,2.8,10.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,2.0,8.0,4.0,2.0,58.0,25.0,2.0,8.0,4.0,2.0,1.45,1.25,1.0,1.0,1.0,1.0,97.0,46.0,5.0,25.0,10.0,16.0,1.73214285714,1.48387096774,1.25,1.78571428571,1.42857142857,2.28571428571,56.0,31.0,4.0,14.0,7.0,7.0,10.0,199.0,100.0,99.0,0.0,43.0,76.0,119.0,20.0,1.67226890756,2.32558139535,1.30263157895,2.7964832992,4.67647207177,1.29316236705,5.22448979592,11.9416909621,1.51185789204,2.04081632653,2.91545189504,1.19522860933,3.1887755102,5.69424198251,1.33630620956,1.5625,1.953125,1.11803398875,2.20187304891,3.26729549193,1.21814242506,3.00031887755,5.1969809129,1.69684903047,2.2103691318,0.0,0.0,0.0,0.0,0.0,0.0,961.0,29791.0,5.56776436283,0.0,0.0,0.0,16.0,64.0,2.0,196.0,2744.0,3.74165738677,14161.0,1685159.0,10.9087121146,49.0,343.0,2.64575131106,49.0,343.0,2.64575131106,0,0,0,0,40M,0W,1
2016-09-19 00:40:00,11.0,2.0,6.0,3.0,5.0,5.0,21.0,3.0,17.0,6.0,14.0,13.0,1.90909090909,1.5,2.83333333333,2.0,2.8,2.6,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,8.0,4.0,2.0,2.0,25.0,2.0,8.0,4.0,2.0,2.0,1.25,1.0,1.0,1.0,1.0,1.0,46.0,5.0,25.0,10.0,16.0,15.0,1.48387096774,1.25,1.78571428571,1.42857142857,2.28571428571,2.14285714286,31.0,4.0,14.0,7.0,7.0,7.0,10.0,117.0,74.0,43.0,0.0,32.0,38.0,70.0,10.0,1.67142857143,2.3125,1.13157894737,2.79367346939,4.66942565598,1.29283741106,4.59183673469,9.83965014577,1.46385010942,5.22448979592,11.9416909621,1.51185789204,2.04081632653,2.91545189504,1.19522860933,3.1887755102,5.69424198251,1.33630620956,1.5625,1.953125,1.11803398875,2.20187304891,3.26729549193,1.28047091413,1.44895392914,0.0,0.0,0.0,0.0,0.0,0.0,16.0,64.0,2.0,0.0,0.0,0.0,196.0,2744.0,3.74165738677,49.0,343.0,2.64575131106,4900.0,343000.0,8.36660026534,49.0,343.0,2.64575131106,49.0,343.0,2.64575131106,0,0,0,0,0M,0W,1
2016-09-19 01:00:00,2.0,6.0,3.0,5.0,5.0,4.0,3.0,17.0,6.0,14.0,13.0,9.0,1.5,2.83333333333,2.0,2.8,2.6,2.25,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,2.0,2.0,6.0,2.0,8.0,4.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,25.0,10.0,16.0,15.0,15.0,1.25,1.78571428571,1.42857142857,2.28571428571,2.14285714286,1.5,4.0,14.0,7.0,7.0,7.0,10.0,14.0,86.0,62.0,24.0,0.0,25.0,24.0,49.0,5.0,1.75510204082,2.48,1.0,3.08038317368,5.40638679462,1.32480264221,2.25,3.375,1.22474487139,4.59183673469,9.83965014577,1.46385010942,5.22448979592,11.9416909621,1.51185789204,2.04081632653,2.91545189504,1.19522860933,3.1887755102,5.69424198251,1.33630620956,1.5625,1.953125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,2744.0,3.74165738677,0.0,0.0,0.0,49.0,343.0,2.64575131106,49.0,343.0,2.64575131106,2401.0,117649.0,7.0,49.0,343.0,2.64575131106,100.0,1000.0,3.16227766017,0,0,0,0,20M,0W,1
2016-09-19 01:20:00,6.0,3.0,5.0,5.0,4.0,6.0,17.0,6.0,14.0,13.0,9.0,10.0,2.83333333333,2.0,2.8,2.6,2.25,1.66666666667,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,2.0,6.0,4.0,8.0,4.0,2.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,10.0,16.0,15.0,15.0,14.0,1.78571428571,1.42857142857,2.28571428571,2.14285714286,1.5,1.4,14.0,7.0,7.0,7.0,10.0,10.0,20.0,95.0,69.0,26.0,0.0,29.0,26.0,55.0,4.0,1.72727272727,2.37931034483,1.0,2.98347107438,5.15326821938,1.31425748135,1.96,2.744,1.18321595662,2.25,3.375,1.22474487139,4.59183673469,9.83965014577,1.46385010942,5.22448979592,11.9416909621,1.51185789204,2.04081632653,2.91545189504,1.19522860933,3.1887755102,5.69424198251,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,343.0,2.64575131106,0.0,0.0,0.0,49.0,343.0,2.64575131106,49.0,343.0,2.64575131106,3025.0,166375.0,7.4161984871,100.0,1000.0,3.16227766017,100.0,1000.0,3.16227766017,0,0,0,0,40M,0W,1
2016-09-19 01:40:00,3.0,5.0,5.0,4.0,6.0,13.0,6.0,14.0,13.0,9.0,10.0,28.0,2.0,2.8,2.6,2.25,1.66666666667,2.15384615385,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,6.0,4.0,1.0,4.0,2.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,16.0,15.0,15.0,14.0,29.0,1.42857142857,2.28571428571,2.14285714286,1.5,1.4,2.07142857143,7.0,7.0,7.0,10.0,10.0,14.0,18.0,99.0,80.0,19.0,0.0,36.0,19.0,55.0,2.0,1.8,2.22222222222,1.0,3.24,5.832,1.3416407865,4.29081632653,8.88811953353,1.43924583426,1.96,2.744,1.18321595662,2.25,3.375,1.22474487139,4.59183673469,9.83965014577,1.46385010942,5.22448979592,11.9416909621,1.51185789204,2.04081632653,2.91545189504,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,343.0,2.64575131106,0.0,0.0,0.0,49.0,343.0,2.64575131106,100.0,1000.0,3.16227766017,3025.0,166375.0,7.4161984871,100.0,1000.0,3.16227766017,196.0,2744.0,3.74165738677,0,0,0,0,0M,0W,1
2016-09-19 02:00:00,5.0,5.0,4.0,6.0,13.0,13.0,14.0,13.0,9.0,10.0,28.0,23.0,2.8,2.6,2.25,1.66666666667,2.15384615385,1.76923076923,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,4.0,1.0,7.0,2.0,2.0,6.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,15.0,15.0,14.0,29.0,30.0,2.28571428571,2.14285714286,1.5,1.4,2.07142857143,1.5,7.0,7.0,10.0,10.0,14.0,20.0,17.0,119.0,97.0,22.0,0.0,46.0,22.0,68.0,3.0,1.75,2.10869565217,1.0,3.0625,5.359375,1.32287565553,2.25,3.375,1.22474487139,4.29081632653,8.88811953353,1.43924583426,1.96,2.744,1.18321595662,2.25,3.375,1.22474487139,4.59183673469,9.83965014577,1.46385010942,5.22448979592,11.9416909621,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,343.0,2.64575131106,0.0,0.0,0.0,100.0,1000.0,3.16227766017,100.0,1000.0,3.16227766017,4624.0,314432.0,8.24621125124,196.0,2744.0,3.74165738677,400.0,8000.0,4.472135955,0,0,0,0,20M,0W,1
2016-09-19 02:20:00,5.0,4.0,6.0,13.0,13.0,10.0,13.0,9.0,10.0,28.0,23.0,10.0,2.6,2.25,1.66666666667,2.15384615385,1.76923076923,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,1.0,7.0,8.0,2.0,6.0,4.0,1.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,14.0,29.0,30.0,18.0,2.14285714286,1.5,1.4,2.07142857143,1.5,1.0,7.0,10.0,10.0,14.0,20.0,18.0,23.0,121.0,93.0,28.0,0.0,51.0,28.0,79.0,2.0,1.53164556962,1.82352941176,1.0,2.34593815094,3.59314577549,1.23759669102,1.0,1.0,1.0,2.25,3.375,1.22474487139,4.29081632653,8.88811953353,1.43924583426,1.96,2.744,1.18321595662,2.25,3.375,1.22474487139,4.59183673469,9.83965014577,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000.0,3.16227766017,0.0,0.0,0.0,100.0,1000.0,3.16227766017,196.0,2744.0,3.74165738677,6241.0,493039.0,8.88819441732,400.0,8000.0,4.472135955,324.0,5832.0,4.24264068712,0,0,0,0,40M,0W,1
2016-09-19 02:40:00,4.0,6.0,13.0,13.0,10.0,10.0,9.0,10.0,28.0,23.0,10.0,22.0,2.25,1.66666666667,2.15384615385,1.76923076923,1.0,2.2,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,7.0,8.0,7.0,6.0,4.0,1.0,7.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,14.0,29.0,30.0,18.0,29.0,1.5,1.4,2.07142857143,1.5,1.0,1.70588235294,10.0,10.0,14.0,20.0,18.0,17.0,28.0,135.0,102.0,33.0,0.0,56.0,33.0,89.0,4.0,1.51685393258,1.82142857143,1.0,2.3008458528,3.49004708008,1.23160624088,2.91003460208,4.96417667413,1.30609431242,1.0,1.0,1.0,2.25,3.375,1.22474487139,4.29081632653,8.88811953353,1.43924583426,1.96,2.744,1.18321595662,2.25,3.375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000.0,3.16227766017,0.0,0.0,0.0,196.0,2744.0,3.74165738677,400.0,8000.0,4.472135955,7921.0,704969.0,9.43398113206,324.0,5832.0,4.24264068712,289.0,4913.0,4.12310562562,0,0,0,0,0M,0W,1
2016-09-19 03:00:00,6.0,13.0,13.0,10.0,10.0,15.0,10.0,28.0,23.0,10.0,22.0,26.0,1.66666666667,2.15384615385,1.76923076923,1.0,2.2,1.73333333333,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,8.0,7.0,8.0,4.0,1.0,7.0,8.0,7.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,29.0,30.0,18.0,29.0,34.0,1.4,2.07142857143,1.5,1.0,1.70588235294,1.47826086957,10.0,14.0,20.0,18.0,17.0,23.0,24.0,154.0,119.0,35.0,0.0,67.0,35.0,102.0,4.0,1.50980392157,1.77611940299,1.0,2.27950788158,3.44160993886,1.22874078697,2.18525519849,3.23037724994,1.21583751775,2.91003460208,4.96417667413,1.30609431242,1.0,1.0,1.0,2.25,3.375,1.22474487139,4.29081632653,8.88811953353,1.43924583426,1.96,2.744,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,2744.0,3.74165738677,0.0,0.0,0.0,400.0,8000.0,4.472135955,324.0,5832.0,4.24264068712,10404.0,1061208.0,10.0995049384,289.0,4913.0,4.12310562562,529.0,12167.0,4.79583152331,0,0,0,0,20M,0W,1
2016-09-19 03:20:00,13.0,13.0,10.0,10.0,15.0,12.0,28.0,23.0,10.0,22.0,26.0,22.0,2.15384615385,1.76923076923,1.0,2.2,1.73333333333,1.83333333333,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,7.0,8.0,16.0,1.0,7.0,8.0,7.0,8.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,30.0,18.0,29.0,34.0,38.0,2.07142857143,1.5,1.0,1.70588235294,1.47826086957,1.35714285714,14.0,20.0,18.0,17.0,23.0,28.0,34.0,178.0,131.0,47.0,0.0,73.0,47.0,120.0,7.0,1.48333333333,1.79452054795,1.0,2.20027777778,3.26374537037,1.2179217271,1.84183673469,2.49963556851,1.16496474502,2.18525519849,3.23037724994,1.21583751775,2.91003460208,4.96417667413,1.30609431242,1.0,1.0,1.0,2.25,3.375,1.22474487139,4.29081632653,8.88811953353,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,8000.0,4.472135955,0.0,0.0,0.0,324.0,5832.0,4.24264068712,289.0,4913.0,4.12310562562,14400.0,1728000.0,10.9544511501,529.0,12167.0,4.79583152331,784.0,21952.0,5.29150262213,0,0,0,0,40M,0W,1
2016-09-19 03:40:00,13.0,10.0,10.0,15.0,12.0,17.0,23.0,10.0,22.0,26.0,22.0,29.0,1.76923076923,1.0,2.2,1.73333333333,1.83333333333,1.70588235294,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,7.0,8.0,16.0,7.0,7.0,8.0,7.0,8.0,16.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,18.0,29.0,34.0,38.0,36.0,1.5,1.0,1.70588235294,1.47826086957,1.35714285714,1.5,20.0,18.0,17.0,23.0,28.0,24.0,39.0,185.0,132.0,53.0,0.0,77.0,53.0,130.0,8.0,1.42307692308,1.71428571429,1.0,2.02514792899,2.88194128357,1.19292787841,2.25,3.375,1.22474487139,1.84183673469,2.49963556851,1.16496474502,2.18525519849,3.23037724994,1.21583751775,2.91003460208,4.96417667413,1.30609431242,1.0,1.0,1.0,2.25,3.375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,5832.0,4.24264068712,0.0,0.0,0.0,289.0,4913.0,4.12310562562,529.0,12167.0,4.79583152331,16900.0,2197000.0,11.401754251,784.0,21952.0,5.29150262213,576.0,13824.0,4.89897948557,0,0,0,0,0M,0W,1
2016-09-19 04:00:00,10.0,10.0,15.0,12.0,17.0,18.0,10.0,22.0,26.0,22.0,29.0,40.0,1.0,2.2,1.73333333333,1.83333333333,1.70588235294,2.22222222222,0.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,8.0,16.0,7.0,16.0,8.0,7.0,8.0,16.0,7.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,29.0,34.0,38.0,36.0,56.0,1.0,1.70588235294,1.47826086957,1.35714285714,1.5,1.64705882353,18.0,17.0,23.0,28.0,24.0,34.0,57.0,211.0,149.0,62.0,0.0,82.0,62.0,144.0,9.0,1.46527777778,1.81707317073,1.0,2.14703896605,3.14600848498,1.21048658719,2.71280276817,4.4681457358,1.28337789584,2.25,3.375,1.22474487139,1.84183673469,2.49963556851,1.16496474502,2.18525519849,3.23037724994,1.21583751775,2.91003460208,4.96417667413,1.30609431242,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,4913.0,4.12310562562,0.0,0.0,0.0,529.0,12167.0,4.79583152331,784.0,21952.0,5.29150262213,20736.0,2985984.0,12.0,576.0,13824.0,4.89897948557,1156.0,39304.0,5.83095189485,0,0,0,0,20M,0W,1
2016-09-19 04:20:00,10.0,15.0,12.0,17.0,18.0,21.0,22.0,26.0,22.0,29.0,40.0,46.0,2.2,1.73333333333,1.83333333333,1.70588235294,2.22222222222,2.19047619048,2.0,0.0,3.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,16.0,7.0,16.0,18.0,7.0,8.0,16.0,7.0,16.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,34.0,38.0,36.0,56.0,64.0,1.70588235294,1.47826086957,1.35714285714,1.5,1.64705882353,1.64102564103,17.0,23.0,28.0,24.0,34.0,39.0,72.0,257.0,185.0,72.0,0.0,93.0,72.0,165.0,15.0,1.55757575758,1.98924731183,1.0,2.42604224059,3.77874458079,1.2480287487,2.6929651545,4.41922486893,1.28102523044,2.71280276817,4.4681457358,1.28337789584,2.25,3.375,1.22474487139,1.84183673469,2.49963556851,1.16496474502,2.18525519849,3.23037724994,1.21583751775,2.91003460208,4.96417667413,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,12167.0,4.79583152331,0.0,0.0,0.0,784.0,21952.0,5.29150262213,576.0,13824.0,4.89897948557,27225.0,4492125.0,12.8452325787,1156.0,39304.0,5.83095189485,1521.0,59319.0,6.2449979984,0,0,0,0,40M,0W,1
