,cargo_count0,cargo_count1,cargo_count2,cargo_count3,cargo_count4,cargo_count5,cargo_model0,cargo_model1,cargo_model2,cargo_model3,cargo_model4,cargo_model5,cargo_model_avg0,cargo_model_avg1,cargo_model_avg2,cargo_model_avg3,cargo_model_avg4,cargo_model_avg5,etc_count0,etc_count1,etc_count2,etc_count3,etc_count4,etc_count5,no_count0,no_count1,no_count2,no_count3,no_count4,no_count5,passenger_count0,passenger_count1,passenger_count2,passenger_count3,passenger_count4,passenger_count5,passenger_model0,passenger_model1,passenger_model2,passenger_model3,passenger_model4,passenger_model5,passenger_model_avg0,passenger_model_avg1,passenger_model_avg2,passenger_model_avg3,passenger_model_avg4,passenger_model_avg5,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model_avg0,vehicle_model_avg1,vehicle_model_avg2,vehicle_model_avg3,vehicle_model_avg4,vehicle_model_avg5,volume0,volume1,volume2,volume3,volume4,volume5,y,vehicle_all_model,cargo_all_model,passenger_all_model,no_all_count,cargo_all_count,passenger_all_count,volume_all,etc_all_count,vehicle_all_model_avg,cargo_all_model_avg,passenger_all_model_avg,vehicle_all_model_avg_S2,vehicle_all_model_avg_S3,vehicle_all_model_avg_sqrt,vehicle_model_avg5_S2,vehicle_model_avg5_S3,vehicle_model_avg5_sqrt,vehicle_model_avg4_S2,vehicle_model_avg4_S3,vehicle_model_avg4_sqrt,vehicle_model_avg3_S2,vehicle_model_avg3_S3,vehicle_model_avg3_sqrt,vehicle_model_avg2_S2,vehicle_model_avg2_S3,vehicle_model_avg2_sqrt,vehicle_model_avg1_S2,vehicle_model_avg1_S3,vehicle_model_avg1_sqrt,vehicle_model_avg0_S2,vehicle_model_avg0_S3,passenger_all_model_avg_S2,passenger_all_model_avg_S3,no_all_count_S2,no_all_count_S3,no_all_count_sqrt,no_count4_S2,no_count4_S3,no_count4_sqrt,volume1_S2,volume1_S3,volume1_sqrt,no_count5_S2,no_count5_S3,no_count5_sqrt,volume2_S2,volume2_S3,volume2_sqrt,volume3_S2,volume3_S3,volume3_sqrt,volume_all_S2,volume_all_S3,volume_all_sqrt,volume4_S2,volume4_S3,volume4_sqrt,volume5_S2,volume5_S3,volume5_sqrt,day,hour,minute
2016-09-19 00:00:00,21.0,16.0,16.0,0.0,3.0,1.0,49.0,34.0,37.0,0.0,7.0,5.0,2.33333333333,2.125,2.3125,0.0,2.33333333333,5.0,46.0,35.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,96.0,77.0,4.0,2.0,3.0,181.0,114.0,97.0,4.0,2.0,3.0,1.13125,1.1875,1.25974025974,1.0,1.0,1.0,230.0,148.0,134.0,4.0,9.0,8.0,1.27071823204,1.32142857143,1.44086021505,1.0,1.8,2.0,181.0,112.0,93.0,4.0,5.0,4.0,4.0,533.0,132.0,401.0,0.0,57.0,342.0,399.0,108.0,1.335839599,2.31578947368,1.17251461988,1.78446743425,2.38376226179,1.15578527374,4.0,8.0,1.41421356237,3.24,5.832,1.3416407865,1.0,1.0,1.0,2.07607815932,2.99133842311,1.20035836943,1.74617346939,2.30744351312,1.1495340671,1.61472482525,2.05186027518,1.37479053384,1.6119620002,0.0,0.0,0.0,0.0,0.0,0.0,12544.0,1404928.0,10.5830052443,0.0,0.0,0.0,8649.0,804357.0,9.64365076099,16.0,64.0,2.0,159201.0,63521199.0,19.9749843554,25.0,125.0,2.2360679775,16.0,64.0,2.0,19D,3H,40M
2016-09-19 00:20:00,16.0,16.0,0.0,3.0,1.0,2.0,34.0,37.0,0.0,7.0,5.0,7.0,2.125,2.3125,0.0,2.33333333333,5.0,3.5,35.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,77.0,4.0,2.0,3.0,3.0,114.0,97.0,4.0,2.0,3.0,3.0,1.1875,1.25974025974,1.0,1.0,1.0,1.0,148.0,134.0,4.0,9.0,8.0,10.0,1.32142857143,1.44086021505,1.0,1.8,2.0,2.0,112.0,93.0,4.0,5.0,4.0,5.0,7.0,313.0,90.0,223.0,0.0,38.0,185.0,223.0,62.0,1.40358744395,2.36842105263,1.20540540541,1.9700577128,2.76514826954,1.18473095847,4.0,8.0,1.41421356237,4.0,8.0,1.41421356237,3.24,5.832,1.3416407865,1.0,1.0,1.0,2.07607815932,2.99133842311,1.20035836943,1.74617346939,2.30744351312,1.45300219138,1.75145669556,0.0,0.0,0.0,0.0,0.0,0.0,8649.0,804357.0,9.64365076099,0.0,0.0,0.0,16.0,64.0,2.0,25.0,125.0,2.2360679775,49729.0,11089567.0,14.9331845231,16.0,64.0,2.0,25.0,125.0,2.2360679775,19D,4H,0M
2016-09-19 00:40:00,16.0,0.0,3.0,1.0,2.0,1.0,37.0,0.0,7.0,5.0,7.0,3.0,2.3125,0.0,2.33333333333,5.0,3.5,3.0,25.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,4.0,2.0,3.0,3.0,3.0,97.0,4.0,2.0,3.0,3.0,3.0,1.25974025974,1.0,1.0,1.0,1.0,1.0,134.0,4.0,9.0,8.0,10.0,6.0,1.44086021505,1.0,1.8,2.0,2.0,1.5,93.0,4.0,5.0,4.0,5.0,4.0,3.0,171.0,59.0,112.0,0.0,23.0,92.0,115.0,29.0,1.48695652174,2.5652173913,1.21739130435,2.21103969754,3.28771989808,1.21940826705,2.25,3.375,1.22474487139,4.0,8.0,1.41421356237,4.0,8.0,1.41421356237,3.24,5.832,1.3416407865,1.0,1.0,1.0,2.07607815932,2.99133842311,1.4820415879,1.80422454179,0.0,0.0,0.0,0.0,0.0,0.0,16.0,64.0,2.0,0.0,0.0,0.0,25.0,125.0,2.2360679775,16.0,64.0,2.0,13225.0,1520875.0,10.7238052948,25.0,125.0,2.2360679775,16.0,64.0,2.0,19D,4H,20M
2016-09-19 01:00:00,0.0,3.0,1.0,2.0,1.0,2.0,0.0,7.0,5.0,7.0,3.0,4.0,0.0,2.33333333333,5.0,3.5,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,8.0,10.0,6.0,7.0,1.0,1.8,2.0,2.0,1.5,1.4,4.0,5.0,4.0,5.0,4.0,5.0,11.0,44.0,26.0,18.0,0.0,9.0,18.0,27.0,5.0,1.62962962963,2.88888888889,1.0,2.65569272977,4.32779555962,1.27656947701,1.96,2.744,1.18321595662,2.25,3.375,1.22474487139,4.0,8.0,1.41421356237,4.0,8.0,1.41421356237,3.24,5.832,1.3416407865,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,125.0,2.2360679775,0.0,0.0,0.0,16.0,64.0,2.0,25.0,125.0,2.2360679775,729.0,19683.0,5.19615242271,16.0,64.0,2.0,25.0,125.0,2.2360679775,19D,4H,40M
2016-09-19 01:20:00,3.0,1.0,2.0,1.0,2.0,1.0,7.0,5.0,7.0,3.0,4.0,3.0,2.33333333333,5.0,3.5,3.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,8.0,10.0,6.0,7.0,5.0,1.8,2.0,2.0,1.5,1.4,1.66666666667,5.0,4.0,5.0,4.0,5.0,3.0,7.0,45.0,29.0,16.0,0.0,10.0,16.0,26.0,4.0,1.73076923077,2.9,1.0,2.99556213018,5.18462676377,1.31558702896,2.77777777778,4.62962962963,1.29099444874,1.96,2.744,1.18321595662,2.25,3.375,1.22474487139,4.0,8.0,1.41421356237,4.0,8.0,1.41421356237,3.24,5.832,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,64.0,2.0,0.0,0.0,0.0,25.0,125.0,2.2360679775,16.0,64.0,2.0,676.0,17576.0,5.09901951359,25.0,125.0,2.2360679775,9.0,27.0,1.73205080757,19D,5H,0M
2016-09-19 01:40:00,1.0,2.0,1.0,2.0,1.0,6.0,5.0,7.0,3.0,4.0,3.0,23.0,5.0,3.5,3.0,2.0,3.0,3.83333333333,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10.0,6.0,7.0,5.0,27.0,2.0,2.0,1.5,1.4,1.66666666667,2.7,4.0,5.0,4.0,5.0,3.0,10.0,13.0,63.0,45.0,18.0,0.0,13.0,18.0,31.0,4.0,2.03225806452,3.46153846154,1.0,4.13007284079,8.39337383774,1.42557288993,7.29,19.683,1.64316767252,2.77777777778,4.62962962963,1.29099444874,1.96,2.744,1.18321595662,2.25,3.375,1.22474487139,4.0,8.0,1.41421356237,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,125.0,2.2360679775,0.0,0.0,0.0,16.0,64.0,2.0,25.0,125.0,2.2360679775,961.0,29791.0,5.56776436283,9.0,27.0,1.73205080757,100.0,1000.0,3.16227766017,19D,5H,20M
2016-09-19 02:00:00,2.0,1.0,2.0,1.0,6.0,2.0,7.0,3.0,4.0,3.0,23.0,5.0,3.5,3.0,2.0,3.0,3.83333333333,2.5,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,6.0,7.0,5.0,27.0,7.0,2.0,1.5,1.4,1.66666666667,2.7,1.75,5.0,4.0,5.0,3.0,10.0,4.0,30.0,62.0,45.0,17.0,0.0,14.0,17.0,31.0,4.0,2.0,3.21428571429,1.0,4.0,8.0,1.41421356237,3.0625,5.359375,1.32287565553,7.29,19.683,1.64316767252,2.77777777778,4.62962962963,1.29099444874,1.96,2.744,1.18321595662,2.25,3.375,1.22474487139,4.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,64.0,2.0,0.0,0.0,0.0,25.0,125.0,2.2360679775,9.0,27.0,1.73205080757,961.0,29791.0,5.56776436283,100.0,1000.0,3.16227766017,16.0,64.0,2.0,19D,5H,40M
2016-09-19 02:20:00,1.0,2.0,1.0,6.0,2.0,3.0,3.0,4.0,3.0,23.0,5.0,6.0,3.0,2.0,3.0,3.83333333333,2.5,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,7.0,5.0,27.0,7.0,10.0,1.5,1.4,1.66666666667,2.7,1.75,1.42857142857,4.0,5.0,3.0,10.0,4.0,7.0,38.0,62.0,44.0,18.0,0.0,15.0,18.0,33.0,6.0,1.87878787879,2.93333333333,1.0,3.52984389348,6.63182792108,1.37068883368,2.04081632653,2.91545189504,1.19522860933,3.0625,5.359375,1.32287565553,7.29,19.683,1.64316767252,2.77777777778,4.62962962963,1.29099444874,1.96,2.744,1.18321595662,2.25,3.375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,125.0,2.2360679775,0.0,0.0,0.0,9.0,27.0,1.73205080757,100.0,1000.0,3.16227766017,1089.0,35937.0,5.74456264654,16.0,64.0,2.0,49.0,343.0,2.64575131106,19D,6H,0M
2016-09-19 03:00:00,2.0,1.0,6.0,2.0,3.0,3.0,4.0,3.0,23.0,5.0,6.0,12.0,2.0,3.0,3.83333333333,2.5,2.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,0.0,3.0,2.0,4.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,5.0,27.0,7.0,10.0,12.0,1.4,1.66666666667,2.7,1.75,1.42857142857,4.0,5.0,3.0,10.0,4.0,7.0,3.0,65.0,68.0,53.0,15.0,0.0,17.0,15.0,32.0,4.0,2.125,3.11764705882,1.0,4.515625,9.595703125,1.45773797371,16.0,64.0,2.0,2.04081632653,2.91545189504,1.19522860933,3.0625,5.359375,1.32287565553,7.29,19.683,1.64316767252,2.77777777778,4.62962962963,1.29099444874,1.96,2.744,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,1.73205080757,0.0,0.0,0.0,100.0,1000.0,3.16227766017,16.0,64.0,2.0,1024.0,32768.0,5.65685424949,49.0,343.0,2.64575131106,9.0,27.0,1.73205080757,19D,6H,40M
2016-09-19 03:20:00,1.0,6.0,2.0,3.0,3.0,7.0,3.0,23.0,5.0,6.0,12.0,24.0,3.0,3.83333333333,2.5,2.0,4.0,3.42857142857,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,4.0,2.0,4.0,2.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,27.0,7.0,10.0,12.0,28.0,1.66666666667,2.7,1.75,1.42857142857,4.0,2.54545454545,3.0,10.0,4.0,7.0,3.0,11.0,67.0,89.0,73.0,16.0,0.0,22.0,16.0,38.0,4.0,2.34210526316,3.31818181818,1.0,5.48545706371,12.8475178597,1.53039382616,6.47933884298,16.4928625094,1.59544807043,16.0,64.0,2.0,2.04081632653,2.91545189504,1.19522860933,3.0625,5.359375,1.32287565553,7.29,19.683,1.64316767252,2.77777777778,4.62962962963,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1000.0,3.16227766017,0.0,0.0,0.0,16.0,64.0,2.0,49.0,343.0,2.64575131106,1444.0,54872.0,6.16441400297,9.0,27.0,1.73205080757,121.0,1331.0,3.31662479036,19D,7H,0M
