tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,46.79
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,44.55
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,46.62
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,36.40
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,40.31
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,38.56
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,47.15
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,49.29
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,40.78
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,48.08
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,38.87
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,47.85
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,44.59
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,41.01
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,47.62
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,27.31
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,48.54
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,27.40
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,40.38
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,27.06
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,45.38
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,40.35
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,45.51
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,45.27
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,45.84
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,48.03
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,47.60
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,40.35
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,46.93
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,31.58
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,47.54
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,28.73
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,41.75
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,27.92
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,59.89
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,35.61
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,42.65
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,38.48
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,42.48
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,42.63
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,46.80
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,35.48
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,44.35
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,25.33
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,46.37
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,25.07
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,40.60
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,25.33
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,47.11
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,32.36
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,46.68
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",0,33.72
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,34.21
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",0,33.64
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,46.84
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",0,25.12
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,48.75
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,24.79
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,50.32
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,24.31
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,43.99
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,19.93
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,52.31
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,37.53
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,47.32
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",0,25.66
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,37.08
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",0,37.43
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,50.36
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",0,23.63
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,44.86
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,26.73
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,47.34
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,25.81
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,42.53
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,20.48
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,48.31
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,32.89
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,45.11
1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",0,34.31
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,44.32
1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",0,34.74
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,46.99
1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",0,33.27
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,103.83
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,99.35
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,98.89
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,64.56
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,101.18
