tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,33.50
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,35.89
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,35.04
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,26.88
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,24.77
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,28.27
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,36.38
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,42.40
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,23.59
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,36.17
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,22.52
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,41.82
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,35.09
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,33.20
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,30.41
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,28.75
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,40.56
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,26.64
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,29.26
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,26.51
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,40.47
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,39.98
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,27.54
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,29.22
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,23.18
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,39.34
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,30.48
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,28.17
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,31.01
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,27.93
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,32.18
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,24.10
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,25.84
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,24.07
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,34.59
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,31.09
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,26.89
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,27.85
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,26.88
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,30.27
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,30.72
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,25.04
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,23.88
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,23.97
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,24.22
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,17.91
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,19.47
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,17.96
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,36.51
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,27.38
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,24.06
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",0,24.99
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,22.88
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",0,26.60
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,24.54
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",0,18.15
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,29.70
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,27.05
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,32.60
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,20.50
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,28.67
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,19.75
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,40.24
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,29.97
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,31.58
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",0,27.48
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,30.83
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",0,29.97
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,31.54
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",0,21.36
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,41.49
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,25.17
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,43.65
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,20.93
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,39.49
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,22.37
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,45.77
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,33.04
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,41.10
1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",0,32.08
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,39.86
1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",0,32.98
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,42.67
1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",0,23.29
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,97.74
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,93.61
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,88.37
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,79.12
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,89.37
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,93.83
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,87.86
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,89.01
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,84.00
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,81.68
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,61.90
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",1,83.27
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,98.67
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",1,92.84
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,90.27
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,90.82
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,86.79
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,75.37
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,90.32
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,90.08
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,86.03
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",1,85.27
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,81.24
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",1,74.15
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,60.69
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",1,75.47
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,89.94
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",1,85.39
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,93.80
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,86.50
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,87.93
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,70.47
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,93.09
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",1,85.51
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,89.40
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",1,84.00
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,86.69
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",1,67.16
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,66.55
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",1,66.87
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,93.27
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",1,86.57
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,107.49
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,88.41
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,99.52
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,57.91
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,101.51
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",1,86.00
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,97.83
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",1,75.87
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",1,100.45
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",1,58.42
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",1,79.31
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",1,59.31
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",1,104.82
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",1,88.16
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,101.16
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,85.98
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,93.16
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",1,51.66
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,100.73
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",1,84.96
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",1,94.01
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",1,61.52
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",1,101.01
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",1,55.27
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",1,84.52
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",1,44.25
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",1,98.25
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",1,86.94
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,88.58
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,77.09
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,85.02
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",1,45.96
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",1,86.42
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",1,80.56
