tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,47.14
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,42.72
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,46.27
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,36.24
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,42.82
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,36.60
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,47.05
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,55.28
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,38.59
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,49.30
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,37.74
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,56.41
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,45.99
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,43.64
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,48.77
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,35.13
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,50.54
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,33.45
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,46.60
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,32.24
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,48.17
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,48.49
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,47.75
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,45.52
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,46.18
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,55.57
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,50.46
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,36.06
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,51.29
