tollgate_id,time_window,direction,volume
1,"[2016-10-25 08:00:00,2016-10-25 08:20:00)",0,51.97
1,"[2016-10-26 08:00:00,2016-10-26 08:20:00)",0,52.00
1,"[2016-10-27 08:00:00,2016-10-27 08:20:00)",0,43.73
1,"[2016-10-28 08:00:00,2016-10-28 08:20:00)",0,53.21
1,"[2016-10-29 08:00:00,2016-10-29 08:20:00)",0,40.41
1,"[2016-10-30 08:00:00,2016-10-30 08:20:00)",0,64.66
1,"[2016-10-31 08:00:00,2016-10-31 08:20:00)",0,107.19
1,"[2016-10-25 17:00:00,2016-10-25 17:20:00)",0,38.01
1,"[2016-10-26 17:00:00,2016-10-26 17:20:00)",0,38.15
1,"[2016-10-27 17:00:00,2016-10-27 17:20:00)",0,40.33
1,"[2016-10-28 17:00:00,2016-10-28 17:20:00)",0,52.68
1,"[2016-10-29 17:00:00,2016-10-29 17:20:00)",0,47.19
1,"[2016-10-30 17:00:00,2016-10-30 17:20:00)",0,109.66
1,"[2016-10-31 17:00:00,2016-10-31 17:20:00)",0,84.94
1,"[2016-10-25 08:20:00,2016-10-25 08:40:00)",0,56.30
1,"[2016-10-26 08:20:00,2016-10-26 08:40:00)",0,54.61
1,"[2016-10-27 08:20:00,2016-10-27 08:40:00)",0,49.79
1,"[2016-10-28 08:20:00,2016-10-28 08:40:00)",0,49.38
1,"[2016-10-29 08:20:00,2016-10-29 08:40:00)",0,43.74
1,"[2016-10-30 08:20:00,2016-10-30 08:40:00)",0,77.47
1,"[2016-10-31 08:20:00,2016-10-31 08:40:00)",0,92.41
1,"[2016-10-25 17:20:00,2016-10-25 17:40:00)",0,36.60
1,"[2016-10-26 17:20:00,2016-10-26 17:40:00)",0,36.21
1,"[2016-10-27 17:20:00,2016-10-27 17:40:00)",0,36.78
1,"[2016-10-28 17:20:00,2016-10-28 17:40:00)",0,49.53
1,"[2016-10-29 17:20:00,2016-10-29 17:40:00)",0,45.51
1,"[2016-10-30 17:20:00,2016-10-30 17:40:00)",0,84.88
1,"[2016-10-31 17:20:00,2016-10-31 17:40:00)",0,73.13
1,"[2016-10-25 08:40:00,2016-10-25 09:00:00)",0,51.42
1,"[2016-10-26 08:40:00,2016-10-26 09:00:00)",0,54.01
1,"[2016-10-27 08:40:00,2016-10-27 09:00:00)",0,51.97
1,"[2016-10-28 08:40:00,2016-10-28 09:00:00)",0,56.17
1,"[2016-10-29 08:40:00,2016-10-29 09:00:00)",0,41.26
1,"[2016-10-30 08:40:00,2016-10-30 09:00:00)",0,74.05
1,"[2016-10-31 08:40:00,2016-10-31 09:00:00)",0,84.44
1,"[2016-10-25 17:40:00,2016-10-25 18:00:00)",0,28.99
1,"[2016-10-26 17:40:00,2016-10-26 18:00:00)",0,31.77
1,"[2016-10-27 17:40:00,2016-10-27 18:00:00)",0,31.68
1,"[2016-10-28 17:40:00,2016-10-28 18:00:00)",0,44.31
1,"[2016-10-29 17:40:00,2016-10-29 18:00:00)",0,34.11
1,"[2016-10-30 17:40:00,2016-10-30 18:00:00)",0,106.23
1,"[2016-10-31 17:40:00,2016-10-31 18:00:00)",0,60.44
1,"[2016-10-25 09:00:00,2016-10-25 09:20:00)",0,46.63
1,"[2016-10-26 09:00:00,2016-10-26 09:20:00)",0,53.93
1,"[2016-10-27 09:00:00,2016-10-27 09:20:00)",0,48.08
1,"[2016-10-28 09:00:00,2016-10-28 09:20:00)",0,54.19
1,"[2016-10-29 09:00:00,2016-10-29 09:20:00)",0,40.95
1,"[2016-10-30 09:00:00,2016-10-30 09:20:00)",0,87.45
1,"[2016-10-31 09:00:00,2016-10-31 09:20:00)",0,108.14
1,"[2016-10-25 18:00:00,2016-10-25 18:20:00)",0,29.93
1,"[2016-10-26 18:00:00,2016-10-26 18:20:00)",0,27.87
1,"[2016-10-27 18:00:00,2016-10-27 18:20:00)",0,27.62
1,"[2016-10-28 18:00:00,2016-10-28 18:20:00)",0,40.70
1,"[2016-10-29 18:00:00,2016-10-29 18:20:00)",0,35.72
1,"[2016-10-30 18:00:00,2016-10-30 18:20:00)",0,145.83
1,"[2016-10-31 18:00:00,2016-10-31 18:20:00)",0,46.89
1,"[2016-10-25 09:20:00,2016-10-25 09:40:00)",0,46.62
1,"[2016-10-26 09:20:00,2016-10-26 09:40:00)",0,53.00
1,"[2016-10-27 09:20:00,2016-10-27 09:40:00)",0,46.23
1,"[2016-10-28 09:20:00,2016-10-28 09:40:00)",0,53.78
1,"[2016-10-29 09:20:00,2016-10-29 09:40:00)",0,44.86
1,"[2016-10-30 09:20:00,2016-10-30 09:40:00)",0,98.87
1,"[2016-10-31 09:20:00,2016-10-31 09:40:00)",0,93.45
1,"[2016-10-25 18:20:00,2016-10-25 18:40:00)",0,23.70
