tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,45.84
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,41.71
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,45.60
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,33.86
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,46.04
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,33.89
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,47.05
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,51.12
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,33.97
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,47.23
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,33.74
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,51.40
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,46.76
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,42.04
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,47.98
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,36.17
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,49.65
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,35.35
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,45.83
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,29.27
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,46.63
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,46.74
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,45.91
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,45.89
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,45.22
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,48.26
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,47.92
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,41.51
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,46.42
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,37.00
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,46.85
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,32.91
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,45.58
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,32.89
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,47.12
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,44.41
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,45.12
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,36.91
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,46.26
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,46.52
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,46.16
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,36.49
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,47.06
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,26.82
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,48.18
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,26.80
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,46.73
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,26.65
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,48.21
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,37.61
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,48.06
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",0,37.75
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,46.97
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",0,40.15
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,48.38
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",0,32.18
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,48.38
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,28.29
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,48.38
