tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,45.59
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,50.32
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,49.18
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,48.29
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,51.20
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,49.66
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,40.79
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,39.67
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,36.26
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,29.66
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,28.18
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,26.61
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,43.50
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,49.79
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,51.01
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,47.91
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,49.69
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,50.71
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,31.59
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,29.61
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,30.17
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,28.13
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,26.27
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,25.43
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,42.48
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,45.39
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,48.46
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,45.96
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,48.69
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,47.85
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,31.32
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,29.03
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,30.01
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,28.26
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,24.77
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,24.09
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,48.28
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,45.04
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,51.65
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,51.55
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,49.10
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,49.14
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,54.02
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,52.89
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,39.68
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,38.89
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,32.87
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,27.93
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,41.41
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,44.78
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,48.68
