tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,29359670018231427072.00
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,3493929900218784415744.00
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,2692040171730557206528.00
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,245213760014099480576.00
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,8047849550589648175104.00
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,1632099064796835479552.00
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,604991759036244224.00
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,94166030582069104.00
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,4531608298686747.00
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,4967046791436.82
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,1134276158072.49
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,546112242363.10
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,3094782356795875840.00
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,3615613394472618950656.00
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,5889805506702626258944.00
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,288910828189475733504.00
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,1790660874142013456384.00
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,3271061153096799879168.00
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,36383170192820.51
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,8835792404368.11
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,5890324393294.73
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,881106326415.62
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,244018306122.99
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,73615639101.36
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,1682919762485872640.00
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,74665829679342731264.00
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,1133010529144157634560.00
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,19486530077896892416.00
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,1726946754769539301376.00
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,1560528778760619032576.00
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,28974096504321.57
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,4040083645945.60
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,10534040508906.32
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,3459314255478.97
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,31148160923.64
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,53690994352.34
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,459699045141773352960.00
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,86845125353472753664.00
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,63008968949111728373760.00
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,3746507617294109114368.00
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,2410915704665061982208.00
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,1204123233403464056832.00
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,46279827492615586054144.00
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,99264899322571051237376.00
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,381625041713985728.00
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,32842504793835764.00
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,148486281247000.78
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,35719039545092.49
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,813243557604312320.00
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,28991495621432786944.00
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,778415809677644398592.00
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,18795797228805320343552.00
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,671106831052855443456.00
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,29922324639202928492544.00
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,12783667105568065536.00
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,56651899862143401984.00
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,3403922632808908.50
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",0,44334153513092.37
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",0,770360125839.98
1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",0,468320185530.11
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,13041987133370644.00
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,7321443970094118912.00
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,10703841041044505362432.00
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,23323372385661526016.00
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,33924499053657790087168.00
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,488610145141457223680.00
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,9889001315742408245248.00
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,2774759882594381201408.00
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,1747124044912527872.00
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",0,133532697075203.64
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",0,180637413209041.22
1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",0,994702265918745.25
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,5437483326433597440.00
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,29138002933996907921408.00
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,1181168679132672819200.00
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,393755772587119869952.00
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,1344508541665946107904.00
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,3262102396521529999360.00
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,137711177662301440.00
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,20457585681839180.00
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,212502391692477.56
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",0,84664307957520.84
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",0,806000735699.80
1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",0,2103646905058.98
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,1072702361264360832.00
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,2287832690965539584.00
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,37142958680058839040.00
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,31488157246216888320.00
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,2427888692949907968.00
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,273435937346400960.00
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,10358198196810748.00
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,92540289031616048.00
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,5641123199948534.00
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,15562461213156584.00
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,12430735104195156.00
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,9033365807778572.00
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,71214186404951960.00
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,1118482450629081984.00
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,807088083430579072.00
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,5446567656751227904.00
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,3543424421778835968.00
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,314337168920393024.00
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,1909964593174.78
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,503497896004.21
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,1996035538.81
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,1181348850.39
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",1,1698307952.86
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",1,87720466.38
