tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,43.70
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,46.37
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,50.21
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,50.09
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,52.79
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,48.16
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,41.78
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,36.29
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,36.18
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,27.08
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,25.24
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,22.04
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,45.42
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,47.73
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,48.02
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,49.61
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,49.13
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,48.92
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,32.45
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,27.49
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,29.69
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,23.61
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,23.40
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,23.20
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,43.48
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,46.81
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,47.64
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,47.90
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,50.06
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,48.23
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,31.35
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,29.17
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,32.46
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,26.16
