tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,44.49
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,47.61
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,49.60
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,49.87
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,47.68
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,52.06
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,41.99
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,36.14
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,36.36
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,26.04
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,25.27
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,23.15
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,45.73
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,47.93
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,50.03
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,49.41
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,48.65
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,50.37
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,35.14
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,30.58
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,31.28
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,23.60
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,24.57
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,22.34
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,42.48
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,46.30
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,47.95
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,50.11
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,49.07
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,48.96
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,31.83
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,31.46
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,31.68
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,26.55
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,21.69
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,22.53
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,49.55
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,44.16
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,50.79
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,53.72
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,50.67
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,57.87
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,58.74
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,52.31
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,38.94
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,35.74
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,32.07
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,29.38
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,38.77
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,44.74
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,46.28
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,52.48
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,47.84
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,46.83
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,52.20
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,42.97
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,36.87
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",0,28.96
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",0,29.10
1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",0,27.75
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,34.66
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,40.39
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,44.19
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,45.12
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,45.52
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,44.67
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,56.17
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,50.94
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,46.46
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",0,45.86
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",0,40.55
1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",0,37.99
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,44.62
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,46.16
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,48.00
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,51.28
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,49.76
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,51.51
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,42.60
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,39.89
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,32.44
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",0,27.32
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",0,26.96
1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",0,26.28
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,113.18
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,110.37
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,114.79
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,121.72
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,112.52
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,101.08
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,101.29
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,101.10
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,101.91
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,77.74
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,81.06
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,80.60
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,105.94
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,109.63
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,110.54
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,113.31
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,111.62
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,107.88
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,70.98
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",1,63.27
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",1,66.52
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",1,54.55
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",1,48.58
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",1,47.12
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,108.06
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,115.87
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,115.15
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,119.50
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,116.56
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",1,105.36
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",1,97.59
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",1,105.77
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",1,103.79
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",1,79.24
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",1,78.75
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",1,86.32
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,99.84
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,100.80
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,107.21
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,109.95
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",1,109.11
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",1,108.14
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",1,106.36
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",1,103.68
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",1,108.12
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",1,84.13
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",1,85.12
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",1,82.31
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,81.05
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,100.99
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,91.75
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",1,109.18
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",1,117.35
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",1,105.29
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",1,77.45
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",1,71.32
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",1,74.45
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",1,62.92
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",1,53.16
1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",1,54.89
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,73.19
