tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,46.92
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,47.15
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,51.55
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,52.85
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,51.76
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,46.66
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,45.11
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,52.76
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,48.45
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,50.79
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,51.80
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,51.90
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,46.12
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,54.61
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,49.34
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",0,49.69
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",0,49.02
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",0,49.80
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,42.84
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,45.09
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,57.45
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",0,53.43
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",0,51.75
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",0,59.47
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,33.50
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,48.16
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,44.14
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",0,46.18
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",0,47.83
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",0,45.87
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,32.76
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,38.65
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,43.05
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",0,41.81
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",0,42.77
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",0,48.65
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,46.99
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,48.12
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,54.85
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",0,47.66
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",0,53.73
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",0,49.69
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,43.44
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,40.14
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,28.06
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,28.07
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,27.33
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,22.42
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,34.09
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,26.68
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,26.77
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,23.17
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,23.63
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,22.39
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,36.11
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,29.28
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,28.62
1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",0,25.30
1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",0,22.14
1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",0,23.59
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,64.65
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,53.59
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,35.10
1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",0,36.03
1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",0,33.09
1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",0,29.20
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,54.42
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,41.81
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,33.06
1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",0,31.66
1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",0,30.08
1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",0,21.58
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,50.04
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,51.71
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,41.66
1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",0,38.04
1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",0,31.79
1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",0,33.64
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,44.41
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,38.19
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,29.68
1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",0,29.40
1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",0,26.69
1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",0,23.60
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,120.60
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,99.55
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",1,121.51
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",1,119.65
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",1,116.54
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",1,105.95
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",1,98.18
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",1,105.33
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",1,121.39
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",1,116.30
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",1,101.85
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",1,99.86
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",1,115.80
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",1,118.22
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",1,108.76
1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",1,114.77
1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",1,101.59
1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",1,101.64
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",1,100.96
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",1,104.03
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",1,109.84
1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",1,109.07
1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",1,102.35
1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",1,93.44
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",1,90.31
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",1,89.35
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",1,97.79
1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",1,112.02
1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",1,112.78
1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",1,108.62
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",1,79.18
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",1,81.09
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",1,74.77
1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",1,75.64
1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",1,95.46
1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",1,103.28
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",1,117.64
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",1,110.13
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",1,114.08
1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",1,122.53
1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",1,104.74
1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",1,114.38
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",1,107.23
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",1,109.46
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",1,107.49
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",1,80.25
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",1,85.00
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",1,80.32
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",1,76.73
