tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,46.83
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,49.82
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,48.48
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,48.83
1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",0,52.30
1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",0,55.13
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,46.24
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,48.38
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,47.78
1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",0,44.94
1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",0,43.04
1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",0,43.36
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,45.67
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,49.26
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,49.49
1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",0,46.71
1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",0,50.85
1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",0,49.18
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,38.92
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,38.13
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,36.74
1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",0,35.31
1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",0,34.66
1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",0,38.30
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,41.06
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,45.10
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,49.03
