tollgate_id,time_window,direction,volume
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,45.64
1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",0,38.96
1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",0,43.91
1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",0,31.28
1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",0,41.61
1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",0,34.60
1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",0,46.52
1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",0,53.89
1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",0,37.08
1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",0,49.68
1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",0,33.14
1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",0,49.99
1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",0,44.22
1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",0,39.77
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,52.01
1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",0,40.71
1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",0,51.40
1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",0,28.37
1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",0,43.89
1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",0,27.71
1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",0,48.18
1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",0,47.54
1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",0,41.03
1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",0,38.49
1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",0,42.35
1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",0,49.41
1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",0,52.81
1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",0,40.04
1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",0,53.70
1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",0,37.78
1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",0,52.59
1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",0,29.63
1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",0,44.49
1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",0,27.11
1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",0,53.73
1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",0,41.97
1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",0,46.65
1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",0,42.64
1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",0,44.68
1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",0,45.98
1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",0,50.95
1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",0,33.58
1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",0,46.33
